Office,candidate_name,Party,expenditure_amount,expenditure_date,recipient,city,state,zip,expenditure_type,explanation
Attorney General,"DOSHI, HETAL",Democratic,1500,8/22/25,Where'S Walda,Lakewood,CO,80214,Consultant & Professional Services,
Attorney General,"DOSHI, HETAL",Democratic,272.68,8/24/25,Actblue,Somerville,MA,02144,Fundraising Expenses,
Attorney General,"DOSHI, HETAL",Democratic,1117,8/27/25,Gusto,San Francisco,CA,94107,Employee Services,
Attorney General,"DOSHI, HETAL",Democratic,4724.28,8/28/25,Gusto,San Francisco,CA,94107,Employee Services,
Attorney General,"DOSHI, HETAL",Democratic,45,8/29/25,First Bank,Lakewood,CO,80215,Bank Fees,
Attorney General,"DOSHI, HETAL",Democratic,193.33,8/31/25,Actblue,Somerville,MA,02144,Fundraising Expenses,
Attorney General,"DOSHI, HETAL",Democratic,3502.5,9/4/25,New Blue Interactive,Bethesda,MD,20816,Consultant & Professional Services,
Attorney General,"DOSHI, HETAL",Democratic,57.83,9/4/25,Gusto,San Francisco,CA,94107,Employee Services,
Attorney General,"DOSHI, HETAL",Democratic,999,9/5/25,Ngp Van Inc,Washington,DC,20005,Consultant & Professional Services,
Attorney General,"DOSHI, HETAL",Democratic,317.9,9/7/25,Actblue,Somerville,MA,02144,Fundraising Expenses,
Attorney General,"DOSHI, HETAL",Democratic,4712.77,9/12/25,Gusto,San Francisco,CA,94107,Employee Services,
Attorney General,"DOSHI, HETAL",Democratic,974.41,9/14/25,Actblue,Somerville,MA,02144,Fundraising Expenses,
Attorney General,"DOSHI, HETAL",Democratic,35.99,9/15/25,New Blue Interactive,Bethesda,MD,20816,Consultant & Professional Services,
Attorney General,"DOSHI, HETAL",Democratic,5680,9/16/25,Andrew  Markoff,Brooklyn,NY,11211,Consultant & Professional Services,
Attorney General,"DOSHI, HETAL",Democratic,52.04,9/19/25,Corazon Printing,Broomfield,CO,80020,Consultant & Professional Services,Printing Services
Attorney General,"DOSHI, HETAL",Democratic,775.26,9/21/25,Actblue,Somerville,MA,02144,Fundraising Expenses,
Attorney General,"DOSHI, HETAL",Democratic,15,9/22/25,New Blue Interactive,Bethesda,MD,20816,Consultant & Professional Services,
Attorney General,"DOSHI, HETAL",Democratic,1500,9/23/25,Where'S Walda,Lakewood,CO,80214,Consultant & Professional Services,
Attorney General,"DOSHI, HETAL",Democratic,5000,9/25/25,Andrew  Markoff,Brooklyn,NY,11211,Consultant & Professional Services,
Attorney General,"DOSHI, HETAL",Democratic,2148.35,9/28/25,Actblue,Somerville,MA,02144,Fundraising Expenses,
Attorney General,"DOSHI, HETAL",Democratic,4704.76,9/29/25,Gusto,San Francisco,CA,94107,Employee Services,
Attorney General,"DOSHI, HETAL",Democratic,55,9/30/25,First Bank,Lakewood,CO,80215,Bank Fees,
Attorney General,"DOSHI, HETAL",Democratic,2052.27,9/30/25,Actblue,Somerville,MA,02144,Fundraising Expenses,
Attorney General,"DOSHI, HETAL",Democratic,106,10/2/25,Pinnacol Assurance,Denver,CO,80230,Consultant & Professional Services,Worker'S Comp
Attorney General,"DOSHI, HETAL",Democratic,57.83,10/3/25,Gusto,San Francisco,CA,94107,Employee Services,
Attorney General,"DOSHI, HETAL",Democratic,999,10/3/25,Ngp Van Inc,Washington,DC,20005,Consultant & Professional Services,Digital Services
Attorney General,"DOSHI, HETAL",Democratic,253.96,10/5/25,Actblue,Somerville,MA,02144,Fundraising Expenses,
Attorney General,"DOSHI, HETAL",Democratic,12.38,10/7/25,Gusto,San Francisco,CA,94107,Employee Services,
Attorney General,"DOSHI, HETAL",Democratic,336.01,10/12/25,Actblue,Somerville,MA,02144,Fundraising Expenses,
Attorney General,"DOSHI, HETAL",Democratic,3127.41,10/14/25,Gusto,San Francisco,CA,94107,Employee Services,
Attorney General,"DOSHI, HETAL",Democratic,1585.36,10/14/25,Gusto,San Francisco,CA,94107,Employee Services,
Attorney General,"DOSHI, HETAL",Democratic,37,10/15/25,City Of Denver,Denver,CO,80202,Other,City Headcount Tax
Attorney General,"DOSHI, HETAL",Democratic,201.88,10/19/25,Actblue,Somerville,MA,02144,Fundraising Expenses,
Attorney General,"DOSHI, HETAL",Democratic,5000,10/21/25,Andrew  Markoff,Brooklyn,NY,11211,Consultant & Professional Services,
Attorney General,"DOSHI, HETAL",Democratic,42.5,10/22/25,New Blue Interactive,Bethesda,MD,20816,Consultant & Professional Services,Digital Services
Attorney General,"DOSHI, HETAL",Democratic,3502.5,10/24/25,New Blue Interactive,Bethesda,MD,20816,Consultant & Professional Services,Digital Services
Attorney General,"DOSHI, HETAL",Democratic,1500,10/24/25,Where'S Walda,Lakewood,CO,80214,Consultant & Professional Services,Media Services
Attorney General,"DOSHI, HETAL",Democratic,155.08,10/26/25,Actblue,Somerville,MA,02144,Fundraising Expenses,
Attorney General,"DOSHI, HETAL",Democratic,3133.17,10/30/25,Gusto,San Francisco,CA,94107,Employee Services,
Attorney General,"DOSHI, HETAL",Democratic,1571.59,10/30/25,Gusto,San Francisco,CA,94107,Employee Services,
Attorney General,"DOSHI, HETAL",Democratic,55,10/31/25,First Bank,Lakewood,CO,80215,Bank Fees,
Attorney General,"DOSHI, HETAL",Democratic,428.05,11/2/25,Actblue,Somerville,MA,02144,Fundraising Expenses,
Attorney General,"DOSHI, HETAL",Democratic,999,11/3/25,Ngp Van Inc,Washington,DC,20005,Consultant & Professional Services,Digital Services
Attorney General,"DOSHI, HETAL",Democratic,750,11/3/25,Numero,Costa Mesa,CA,92626,Consultant & Professional Services,Digital Services
Attorney General,"DOSHI, HETAL",Democratic,81.89,11/3/25,Google Inc.,Mountain View,CA,94043,Consultant & Professional Services,Digital Services
Attorney General,"DOSHI, HETAL",Democratic,57.83,11/5/25,Gusto,San Francisco,CA,94107,Employee Services,
Attorney General,"DOSHI, HETAL",Democratic,543.94,11/5/25,Corazon Printing,Broomfield,CO,80020,Consultant & Professional Services,Printing Services
Attorney General,"DOSHI, HETAL",Democratic,295,11/5/25,Corazon Printing,Broomfield,CO,80020,Consultant & Professional Services,Printing Services
Attorney General,"DOSHI, HETAL",Democratic,3502.5,11/5/25,New Blue Interactive,Bethesda,MD,20816,Consultant & Professional Services,Digital Services
Attorney General,"DOSHI, HETAL",Democratic,369.25,11/9/25,Actblue,Somerville,MA,02144,Fundraising Expenses,
Attorney General,"DOSHI, HETAL",Democratic,35,11/12/25,Pinnacol Assurance,Denver,CO,80230,Consultant & Professional Services,Worker'S Comp
Attorney General,"DOSHI, HETAL",Democratic,3127.41,11/13/25,Gusto,San Francisco,CA,94107,Employee Services,
Attorney General,"DOSHI, HETAL",Democratic,1522.94,11/13/25,Gusto,San Francisco,CA,94107,Employee Services,
Attorney General,"DOSHI, HETAL",Democratic,321.8,11/16/25,Actblue,Somerville,MA,02144,Fundraising Expenses,
Attorney General,"DOSHI, HETAL",Democratic,259.37,11/23/25,Actblue,Somerville,MA,02144,Fundraising Expenses,
Attorney General,"DOSHI, HETAL",Democratic,46.25,11/24/25,New Blue Interactive,Bethesda,MD,20816,Consultant & Professional Services,Digital Services
Attorney General,"DOSHI, HETAL",Democratic,3133.17,11/26/25,Gusto,San Francisco,CA,94107,Employee Services,
Attorney General,"DOSHI, HETAL",Democratic,1441.95,11/26/25,Gusto,San Francisco,CA,94107,Employee Services,
Attorney General,"DOSHI, HETAL",Democratic,45,11/28/25,First Bank,Lakewood,CO,80215,Bank Fees,
Attorney General,"DOSHI, HETAL",Democratic,93.25,11/28/25,Corazon Printing,Broomfield,CO,80020,Consultant & Professional Services,
Attorney General,"DOSHI, HETAL",Democratic,80.94,11/28/25,Corazon Printing,Broomfield,CO,80020,Consultant & Professional Services,
Attorney General,"DOSHI, HETAL",Democratic,1500,11/28/25,Where'S Walda,Lakewood,CO,80214,Consultant & Professional Services,Media Services
Attorney General,"DOSHI, HETAL",Democratic,183.33,11/30/25,Actblue,Somerville,MA,02144,Fundraising Expenses,
Attorney General,"DOSHI, HETAL",Democratic,86.02,12/1/25,Google Inc.,Mountain View,CA,94043,Consultant & Professional Services,Digital Services
Attorney General,"DOSHI, HETAL",Democratic,57.83,12/2/25,Gusto,San Francisco,CA,94107,Employee Services,
Attorney General,"DOSHI, HETAL",Democratic,750,12/2/25,Numero,Costa Mesa,CA,92626,Consultant & Professional Services,Digital Services
Attorney General,"DOSHI, HETAL",Democratic,999,12/3/25,Ngp Van Inc,Washington,DC,20005,Consultant & Professional Services,Digital Services
Attorney General,"DOSHI, HETAL",Democratic,833.2,12/7/25,Actblue,Somerville,MA,02144,Fundraising Expenses,
Attorney General,"DOSHI, HETAL",Democratic,263.72,12/14/25,Actblue,Somerville,MA,02144,Fundraising Expenses,
Attorney General,"DOSHI, HETAL",Democratic,35,12/15/25,Pinnacol Assurance,Denver,CO,80230,Consultant & Professional Services,Worker'S Comp
Attorney General,"DOSHI, HETAL",Democratic,702.8,12/21/25,Actblue,Somerville,MA,02144,Fundraising Expenses,
Attorney General,"DOSHI, HETAL",Democratic,38.75,12/22/25,New Blue Interactive,Bethesda,MD,20816,Consultant & Professional Services,Digital Services
Attorney General,"DOSHI, HETAL",Democratic,2395,12/23/25,Schuyler  Andersen,Denver,CO,80223,Consultant & Professional Services,
Attorney General,"DOSHI, HETAL",Democratic,352.98,12/28/25,Actblue,Somerville,MA,02144,Fundraising Expenses,
Attorney General,"DOSHI, HETAL",Democratic,85,12/31/25,First Bank,Lakewood,CO,80215,Bank Fees,
Attorney General,"DOSHI, HETAL",Democratic,1594.16,12/31/25,Actblue,Somerville,MA,02144,Fundraising Expenses,
Attorney General,"DOUGHERTY, MICHAEL",Democratic,2513.5,3/2/25,Act Blue,Somerville,MA,02144-3132,Fundraising Expenses,
Attorney General,"DOUGHERTY, MICHAEL",Democratic,1500,3/4/25,Dialogue Digital,Lakewood,CO,80226,Consultant & Professional Services,
Attorney General,"DOUGHERTY, MICHAEL",Democratic,750,3/4/25,Heart + Mind Media Llc,Denver,CO,80207,Consultant & Professional Services,
Attorney General,"DOUGHERTY, MICHAEL",Democratic,400.06,3/9/25,Act Blue,Somerville,MA,02144-3132,Fundraising Expenses,
Attorney General,"DOUGHERTY, MICHAEL",Democratic,10000,3/13/25,Liftoff,Silver Spring,MD,20901-3627,Consultant & Professional Services,
Attorney General,"DOUGHERTY, MICHAEL",Democratic,10000,3/14/25,Liftoff,Silver Spring,MD,20901-3627,Consultant & Professional Services,
Attorney General,"DOUGHERTY, MICHAEL",Democratic,282.08,3/16/25,Act Blue,Somerville,MA,02144-3132,Fundraising Expenses,
Attorney General,"DOUGHERTY, MICHAEL",Democratic,738.75,3/19/25,Corazon Printing,Broomfield,CO,80020,Consultant & Professional Services,
Attorney General,"DOUGHERTY, MICHAEL",Democratic,588.17,3/23/25,Act Blue,Somerville,MA,02144-3132,Fundraising Expenses,
Attorney General,"DOUGHERTY, MICHAEL",Democratic,924.17,3/30/25,Act Blue,Somerville,MA,02144-3132,Fundraising Expenses,
Attorney General,"DOUGHERTY, MICHAEL",Democratic,24,3/31/25,Wix.Com Ltd,New York,NY,10014,Consultant & Professional Services,
Attorney General,"DOUGHERTY, MICHAEL",Democratic,203.99,3/31/25,Act Blue,Somerville,MA,02144-3132,Fundraising Expenses,
Attorney General,"DOUGHERTY, MICHAEL",Democratic,6,4/1/25,Firstbank,Lakewood,CO,80215,Bank Fees,
Attorney General,"DOUGHERTY, MICHAEL",Democratic,12000,4/2/25,Liftoff,Silver Spring,MD,20901-3627,Consultant & Professional Services,
Attorney General,"DOUGHERTY, MICHAEL",Democratic,1065,4/3/25,Ngp Van,Washington,DC,20005,Fundraising Expenses,
Attorney General,"DOUGHERTY, MICHAEL",Democratic,75.93,4/6/25,Act Blue,Somerville,MA,02144-3132,Fundraising Expenses,
Attorney General,"DOUGHERTY, MICHAEL",Democratic,6665,4/8/25,Upstream Llc,Wheat Ridge,CO,80033,Consultant & Professional Services,
Attorney General,"DOUGHERTY, MICHAEL",Democratic,207,4/13/25,Act Blue,Somerville,MA,02144-3132,Fundraising Expenses,
Attorney General,"DOUGHERTY, MICHAEL",Democratic,82.17,4/20/25,Act Blue,Somerville,MA,02144-3132,Fundraising Expenses,
Attorney General,"DOUGHERTY, MICHAEL",Democratic,5000,4/23/25,Liftoff,Silver Spring,MD,20901-3627,Consultant & Professional Services,
Attorney General,"DOUGHERTY, MICHAEL",Democratic,245.66,4/27/25,Act Blue,Somerville,MA,02144-3132,Fundraising Expenses,
Attorney General,"DOUGHERTY, MICHAEL",Democratic,5687.5,5/1/25,Upstream Llc,Wheat Ridge,CO,80033,Consultant & Professional Services,
Attorney General,"DOUGHERTY, MICHAEL",Democratic,600,5/2/25,Numero,Costa Mesa,CA,92626,Fundraising Expenses,
Attorney General,"DOUGHERTY, MICHAEL",Democratic,192,5/3/25,Usps,Boulder,CO,80306,Other,Postal Fees
Attorney General,"DOUGHERTY, MICHAEL",Democratic,228.96,5/4/25,Act Blue,Somerville,MA,02144-3132,Fundraising Expenses,
Attorney General,"DOUGHERTY, MICHAEL",Democratic,1065,5/5/25,Ngp Van,Washington,DC,20005,Fundraising Expenses,
Attorney General,"DOUGHERTY, MICHAEL",Democratic,6800,5/8/25,Liftoff,Silver Spring,MD,20901-3627,Consultant & Professional Services,
Attorney General,"DOUGHERTY, MICHAEL",Democratic,6000,5/8/25,Liftoff,Silver Spring,MD,20901-3627,Consultant & Professional Services,
Attorney General,"DOUGHERTY, MICHAEL",Democratic,213.79,5/11/25,Act Blue,Somerville,MA,02144-3132,Fundraising Expenses,
Attorney General,"DOUGHERTY, MICHAEL",Democratic,1200,5/17/25,Colorado Democratic Party,Denver,CO,80203,Other,Demfest
Attorney General,"DOUGHERTY, MICHAEL",Democratic,500,5/17/25,Colorado Democratic Party,Denver,CO,80203,Other,Obama Gala
Attorney General,"DOUGHERTY, MICHAEL",Democratic,320.82,5/18/25,Act Blue,Somerville,MA,02144-3132,Fundraising Expenses,
Attorney General,"DOUGHERTY, MICHAEL",Democratic,2500,5/22/25,Upstream Llc,Wheat Ridge,CO,80033,Consultant & Professional Services,
Attorney General,"DOUGHERTY, MICHAEL",Democratic,236.74,5/25/25,Act Blue,Somerville,MA,02144-3132,Fundraising Expenses,
Attorney General,"DOUGHERTY, MICHAEL",Democratic,75,5/29/25,Colorado Democratic Party,Denver,CO,80203,Other,Young Democrats Initiative - Obama Gala
Attorney General,"DOUGHERTY, MICHAEL",Democratic,341.98,6/1/25,Act Blue,Somerville,MA,02144-3132,Fundraising Expenses,
Attorney General,"DOUGHERTY, MICHAEL",Democratic,600,6/2/25,Numero,Costa Mesa,CA,92626,Fundraising Expenses,
Attorney General,"DOUGHERTY, MICHAEL",Democratic,1065,6/3/25,Ngp Van,Washington,DC,20005,Fundraising Expenses,
Attorney General,"DOUGHERTY, MICHAEL",Democratic,257.28,6/8/25,Act Blue,Somerville,MA,02144-3132,Fundraising Expenses,
Attorney General,"DOUGHERTY, MICHAEL",Democratic,369.5,6/9/25,Tyrolean Lodge Llc,Aspen,CO,81611,Travel & Lodging,
Attorney General,"DOUGHERTY, MICHAEL",Democratic,6812.59,6/13/25,Katie  Malzbender,Boulder,CO,80303,Consultant & Professional Services,
Attorney General,"DOUGHERTY, MICHAEL",Democratic,3000,6/13/25,Lawlor Strategies Llc,Denver,CO,80211,Consultant & Professional Services,
Attorney General,"DOUGHERTY, MICHAEL",Democratic,1328,6/13/25,Sam  Von Mettenheim,Boulder,CO,80304,Consultant & Professional Services,
Attorney General,"DOUGHERTY, MICHAEL",Democratic,208,6/15/25,Act Blue,Somerville,MA,02144-3132,Fundraising Expenses,
Attorney General,"DOUGHERTY, MICHAEL",Democratic,460,6/16/25,Ngp Van,Washington,DC,20005,Fundraising Expenses,
Attorney General,"DOUGHERTY, MICHAEL",Democratic,22.3,6/17/25,Firstbank,Lakewood,CO,80215,Bank Fees,
Attorney General,"DOUGHERTY, MICHAEL",Democratic,606.22,6/22/25,Act Blue,Somerville,MA,02144-3132,Fundraising Expenses,
Attorney General,"DOUGHERTY, MICHAEL",Democratic,1005.62,6/29/25,Act Blue,Somerville,MA,02144-3132,Fundraising Expenses,
Attorney General,"DOUGHERTY, MICHAEL",Democratic,258.03,6/30/25,Act Blue,Somerville,MA,02144-3132,Fundraising Expenses,
Attorney General,"DOUGHERTY, MICHAEL",Democratic,600,7/2/25,Numero,Costa Mesa,CA,92626,Fundraising Expenses,
Attorney General,"DOUGHERTY, MICHAEL",Democratic,1,7/2/25,Ktm Strategies,Boulder,CO,80303,Consultant & Professional Services,
Attorney General,"DOUGHERTY, MICHAEL",Democratic,2481.71,7/2/25,Sam  Von Mettenheim,Boulder,CO,80304,Consultant & Professional Services,
Attorney General,"DOUGHERTY, MICHAEL",Democratic,3000,7/2/25,Lawlor Strategies Llc,Denver,CO,80211,Consultant & Professional Services,
Attorney General,"DOUGHERTY, MICHAEL",Democratic,5631.31,7/2/25,Ktm Strategies,Boulder,CO,80303,Consultant & Professional Services,
Attorney General,"DOUGHERTY, MICHAEL",Democratic,6000,7/3/25,Liftoff,Silver Spring,MD,20901-3627,Consultant & Professional Services,
Attorney General,"DOUGHERTY, MICHAEL",Democratic,1525,7/3/25,Ngp Van,Washington,DC,20005,Fundraising Expenses,
Attorney General,"DOUGHERTY, MICHAEL",Democratic,381.53,7/6/25,Act Blue,Somerville,MA,02144-3132,Fundraising Expenses,
Attorney General,"DOUGHERTY, MICHAEL",Democratic,356.22,7/13/25,Act Blue,Somerville,MA,02144-3132,Fundraising Expenses,
Attorney General,"DOUGHERTY, MICHAEL",Democratic,820.56,7/14/25,Adventure Inn,Durango,CO,81301,Travel & Lodging,
Attorney General,"DOUGHERTY, MICHAEL",Democratic,40,7/16/25,City Of Durango - Library,Durango,CO,81301,Other,Space Fee
Attorney General,"DOUGHERTY, MICHAEL",Democratic,348.55,7/20/25,Act Blue,Somerville,MA,02144-3132,Fundraising Expenses,
Attorney General,"DOUGHERTY, MICHAEL",Democratic,2000,7/21/25,Liftoff,Silver Spring,MD,20901-3627,Consultant & Professional Services,
Attorney General,"DOUGHERTY, MICHAEL",Democratic,1550,7/21/25,Upstream Llc,Wheat Ridge,CO,80033,Consultant & Professional Services,
Attorney General,"DOUGHERTY, MICHAEL",Democratic,12,7/23/25,Firstbank,Lakewood,CO,80215,Bank Fees,
Attorney General,"DOUGHERTY, MICHAEL",Democratic,7724.3,7/25/25,Colorado Democratic Party,Denver,CO,80203,Other,List Purchase
Attorney General,"DOUGHERTY, MICHAEL",Democratic,500,7/26/25,Adams County Democratic Party (A.C.D.C.C),Westminster,CO,80031,Other,Event Fees
Attorney General,"DOUGHERTY, MICHAEL",Democratic,180.02,7/27/25,Act Blue,Somerville,MA,02144-3132,Fundraising Expenses,
Attorney General,"DOUGHERTY, MICHAEL",Democratic,5807.26,8/2/25,Ktm Strategies,Boulder,CO,80303,Consultant & Professional Services,
Attorney General,"DOUGHERTY, MICHAEL",Democratic,2787.5,8/2/25,Sam  Von Mettenheim,Boulder,CO,80304,Consultant & Professional Services,
Attorney General,"DOUGHERTY, MICHAEL",Democratic,284.04,8/3/25,Act Blue,Somerville,MA,02144-3132,Fundraising Expenses,
Attorney General,"DOUGHERTY, MICHAEL",Democratic,1525,8/4/25,Ngp Van,Washington,DC,20005,Fundraising Expenses,
Attorney General,"DOUGHERTY, MICHAEL",Democratic,600,8/4/25,Numero,Costa Mesa,CA,92626,Fundraising Expenses,
Attorney General,"DOUGHERTY, MICHAEL",Democratic,186.95,8/5/25,The Christie Lodge,Avon,CO,81620,Travel & Lodging,
Attorney General,"DOUGHERTY, MICHAEL",Democratic,186.95,8/5/25,The Christie Lodge,Avon,CO,81620,Travel & Lodging,
Attorney General,"DOUGHERTY, MICHAEL",Democratic,151.34,8/10/25,Act Blue,Somerville,MA,02144-3132,Fundraising Expenses,
Attorney General,"DOUGHERTY, MICHAEL",Democratic,465.82,8/15/25,The Christie Lodge,Avon,CO,81620,Travel & Lodging,
Attorney General,"DOUGHERTY, MICHAEL",Democratic,342.69,8/17/25,Act Blue,Somerville,MA,02144-3132,Fundraising Expenses,
Attorney General,"DOUGHERTY, MICHAEL",Democratic,588.07,8/19/25,Corazon Printing,Broomfield,CO,80020,Other,Printing
Attorney General,"DOUGHERTY, MICHAEL",Democratic,4000.1,8/19/25,Lawlor Strategies Llc,Denver,CO,80211,Consultant & Professional Services,
Attorney General,"DOUGHERTY, MICHAEL",Democratic,100,8/23/25,Pitkin County Democratic Party,Aspen,CO,81611,Other,Event Fees
Attorney General,"DOUGHERTY, MICHAEL",Democratic,721.59,8/24/25,Act Blue,Somerville,MA,02144-3132,Fundraising Expenses,
Attorney General,"DOUGHERTY, MICHAEL",Democratic,234.69,8/28/25,Eagle County Democrats,Basalt,CO,81621,Other,Event Fees
Attorney General,"DOUGHERTY, MICHAEL",Democratic,3500,8/29/25,Dk Global Consulting Llc,Aurora,CO,80016,Consultant & Professional Services,
Attorney General,"DOUGHERTY, MICHAEL",Democratic,266.8,8/31/25,Act Blue,Somerville,MA,02144-3132,Fundraising Expenses,
Attorney General,"DOUGHERTY, MICHAEL",Democratic,600,9/2/25,Numero,Costa Mesa,CA,92626,Fundraising Expenses,
Attorney General,"DOUGHERTY, MICHAEL",Democratic,183,9/2/25,Usps,Boulder,CO,80306,Fundraising Expenses,
Attorney General,"DOUGHERTY, MICHAEL",Democratic,5544.5,9/2/25,Ktm Strategies,Boulder,CO,80303,Consultant & Professional Services,
Attorney General,"DOUGHERTY, MICHAEL",Democratic,3327.82,9/2/25,Sam  Von Mettenheim,Boulder,CO,80304,Consultant & Professional Services,
Attorney General,"DOUGHERTY, MICHAEL",Democratic,4000,9/4/25,Lawlor Strategies Llc,Denver,CO,80211,Consultant & Professional Services,
Attorney General,"DOUGHERTY, MICHAEL",Democratic,1525,9/5/25,Ngp Van,Washington,DC,20005,Fundraising Expenses,
Attorney General,"DOUGHERTY, MICHAEL",Democratic,322.85,9/7/25,Act Blue,Somerville,MA,02144-3132,Fundraising Expenses,
Attorney General,"DOUGHERTY, MICHAEL",Democratic,122,9/8/25,Usps,Boulder,CO,80306,Fundraising Expenses,
Attorney General,"DOUGHERTY, MICHAEL",Democratic,653.61,9/14/25,Act Blue,Somerville,MA,02144-3132,Fundraising Expenses,
