committee,committee_type,expenditure_amount,expenditure_date,recipient,city,state,zip,expenditure_type,explanation
FRIENDS OF COLORADO HOSPITALS (F/K/A HOSPITALS EXPRESS LEGISLATIVE PREFERENCE),Political Committee,25.95,2025-01-02 00:00:00,,,,,Bank Fees,Jan Merchant Fees
GREEN PARTY OF COLORADO,Political Party Committee,50.0,2025-01-02 00:00:00,Your Office Usa,Denver,CO,80202,Rent & Utilities,
LIBERTARIAN PARTY OF COLORADO (LPCO),Political Party Committee,4.9,2025-01-02 00:00:00,Stripe.Com,South San Francisco,CA,94080,Bank Fees,Credit Card Fees
MANNY RUTINEL LEADERSHIP FUND,Political Committee,74.62,2025-01-02 00:00:00,Ny Times,New York,NY,10018,Other,Newspaper Subscription
MANNY RUTINEL LEADERSHIP FUND,Political Committee,100.0,2025-01-02 00:00:00,Cherish Salazar For Thornton City Council,Thornton,CO,80260,Contributions,
REPUBLIC SERVICES INC. EMPLOYEES FOR BETTER GOVERNMENT PAC,Political Committee,-400.0,2025-01-02 00:00:00,William For Colorado,Redacted By Sos,CO,99999,Returned Expenditure,Check Voided: Original Issue Date 10/24/2024
ROCKY MOUNTAIN HOME ASSOCIATION PAC (CMHA PAC FUND),Political Committee,12.0,2025-01-02 00:00:00,Pnc Bank,Pittsburgh,PA,15222,Bank Fees,
ROCKY MOUNTAIN MECHANICAL CONTRACTORS ASSOCIATION PAC,Political Committee,450.0,2025-01-02 00:00:00,Duran For Colorado,Wheat Ridge,CO,80033,Contributions,Contribution
THE COLEMAN LEADERSHIP FUND,Political Committee,1.03,2025-01-02 00:00:00,Patreon,Pali Alto,CA,94306,Other,Subscription
VALDEZ FOR COLORADO RAINBOW FUND,Political Committee,15.09,2025-01-02 00:00:00,Google Suite,Mountain View,CA,94043,Office Equipment & Supplies,
CALDWELL LEADERSHIP PAC,Political Committee,200.0,2025-01-03 00:00:00,Polifi Llc,Fort Lupton,CO,80621,Consultant & Professional Services,
CENTENNIAL STATE LEADERSHIP COMMITTEE,Political Committee,350.0,2025-01-03 00:00:00,Strengthening Opportunities For Coloradans (Soco) Pac,Pueblo,CO,81005,Contributions,
COLORADO DEMOCRATIC PARTY,Political Party Committee,20.84,2025-01-03 00:00:00,Firstbank,Lakewood,CO,80215,Bank Fees,Bank Fees
COLORADO DEMOCRATIC PARTY,Political Party Committee,53.84,2025-01-03 00:00:00,Firstbank,Lakewood,CO,80215,Bank Fees,Bank Fees
COLORADO DEMOCRATIC PARTY,Political Party Committee,0.28,2025-01-03 00:00:00,Firstbank,Lakewood,CO,80215,Bank Fees,Bank Fees
COLORADO DEMOCRATIC PARTY,Political Party Committee,2242.47,2025-01-03 00:00:00,Michael S Merrifield,Arvada,CO,80005,Employee Services,Payroll
COLORADO DEMOCRATIC PARTY,Political Party Committee,11.95,2025-01-03 00:00:00,,,,,Miscellaneous,"Reimbursement - Snacks, Water"
COLORADO DEMOCRATIC PARTY,Political Party Committee,1248.26,2025-01-03 00:00:00,Paychex,Norristown,PA,19403,Employee Services,Payroll Taxes
COLORADO DEMOCRATIC PARTY,Political Party Committee,999.13,2025-01-03 00:00:00,Paychex,Norristown,PA,19403,Employee Services,Payroll Taxes
COLORADO DEMOCRATIC PARTY,Political Party Committee,5.75,2025-01-03 00:00:00,Paychex,Norristown,PA,19403,Employee Services,Payroll Taxes
COLORADO DEMOCRATIC PARTY,Political Party Committee,2585.42,2025-01-03 00:00:00,Marykate  Wallace,Lafayette,CO,80026,Employee Services,Payroll
COLORADO INDEPENDENT AUTO DEALERS POLITICAL COMMITTEE,Political Committee,450.0,2025-01-03 00:00:00,John  Carson,Highlands Ranch,CO,80130,Contributions,
COLORADO INDEPENDENT AUTO DEALERS POLITICAL COMMITTEE,Political Committee,450.0,2025-01-03 00:00:00,Shannon  Bird,Redacted By Sos,CO,99999,Contributions,
COLORADO INDEPENDENT AUTO DEALERS POLITICAL COMMITTEE,Political Committee,200.0,2025-01-03 00:00:00,Gretchen For Colorado,Redacted By Sos,CO,99999,Contributions,
COLORADO INDEPENDENT AUTO DEALERS POLITICAL COMMITTEE,Political Committee,200.0,2025-01-03 00:00:00,Javier For Colorado,Denver,CO,80219-5033,Contributions,
COLORADO INDEPENDENT AUTO DEALERS POLITICAL COMMITTEE,Political Committee,2500.0,2025-01-03 00:00:00,Colorado Forward Party Committee,Westminster,CO,80031,Contributions,
COLORADO INDEPENDENT AUTO DEALERS POLITICAL COMMITTEE,Political Committee,600.0,2025-01-03 00:00:00,New Day Colorado Fund,Fort Lupton,CO,80621,Contributions,
COLORADO INDEPENDENT AUTO DEALERS POLITICAL COMMITTEE,Political Committee,2500.0,2025-01-03 00:00:00,All Together Colorado,Denver,CO,80206,Contributions,
COLORADO INDEPENDENT AUTO DEALERS POLITICAL COMMITTEE,Political Committee,1000.0,2025-01-03 00:00:00,Senate Majority Fund,Denver,CO,80205,Contributions,
COLORADO MEDICAL SOCIETY SMALL DONOR COMMITTEE,Small Donor Committee,14.3,2025-01-03 00:00:00,Wells Fargo Bank,Portland,OR,97228,Bank Fees,
COLORADO OPTOMETRIC ASSOCIATION SMALL DONOR COMMITTEE,Small Donor Committee,3000.0,2025-01-03 00:00:00,Colorado Democratic Party,Denver,CO,80203,Contributions,
COLORADO OPTOMETRIC ASSOCIATION SMALL DONOR COMMITTEE,Small Donor Committee,1200.0,2025-01-03 00:00:00,New Day Colorado Fund,Fort Lupton,CO,80621,Contributions,
COLORADO OPTOMETRIC ASSOCIATION SMALL DONOR COMMITTEE,Small Donor Committee,1000.0,2025-01-03 00:00:00,Senate Majority Fund,Denver,CO,80205,Contributions,
LIBERTARIAN PARTY OF COLORADO (LPCO),Political Party Committee,9.95,2025-01-03 00:00:00,Merch Bnkcd Sd Fee,Thousand Oaks,CA,91361,Bank Fees,Bank Fees
LIBERTARIAN PARTY OF COLORADO (LPCO),Political Party Committee,99.0,2025-01-03 00:00:00,Merch Bnkcd Sd Fee,Thousand Oaks,CA,91361,Bank Fees,Bank Fees
LIBERTARIAN PARTY OF COLORADO (LPCO),Political Party Committee,1.42,2025-01-03 00:00:00,Stripe.Com,South San Francisco,CA,94080,Bank Fees,Credit Card Fees
CHINOOK POLITICAL COMMITTEE,Political Committee,116.0,2025-01-04 00:00:00,United States Postal Service - 81416,Delta,CO,81416,Rent & Utilities,1/2 Po Box Rental
ADAMS EDUCATORS FOR PUBLIC EDUCATION,Small Donor Committee,67.5,2025-01-05 00:00:00,,,,,Other,Intuit
DEMOCRATIC PARTY CONGRESSIONAL DISTRICT 4 COLORADO,Political Party Committee,0.99,2025-01-05 00:00:00,Actblue Technical Services,Somerville,MA,02144,Other,Cc Processing Fee
VELASCO LEADERSHIP FUND,Political Committee,0.79,2025-01-05 00:00:00,Actblue,Somerville,MA,02144,Consultant & Professional Services,Actblue Fee
"AFT COLORADO FEDERATION OF TEACHERS, SCHOOL, HEALTH AND PUBLIC EMPLOYEES (SDC)",Small Donor Committee,1000.0,2025-01-06 00:00:00,Colorado Democratic Party,Denver,CO,80203,Contributions,Senate Campaign Fund
"AFT COLORADO FEDERATION OF TEACHERS, SCHOOL, HEALTH AND PUBLIC EMPLOYEES (SDC)",Small Donor Committee,1000.0,2025-01-06 00:00:00,Colorado Democratic Party,Denver,CO,80203,Contributions,Contribution
"COLORADO CHIROPRACTIC PAC (CCA, CC-PAC)",Political Committee,450.0,2025-01-06 00:00:00,Duran For Colorado,Wheat Ridge,CO,80033,Contributions,
"COLORADO CHIROPRACTIC PAC (CCA, CC-PAC)",Political Committee,97.84,2025-01-06 00:00:00,Affinipay,Austin,TX,78746,Bank Fees,
COLORADO DEMOCRATIC PARTY,Political Party Committee,67.92,2025-01-06 00:00:00,Google,Mountain View,CA,94043,Office Equipment & Supplies,Software Subscription
COLORADO DEMOCRATIC PARTY,Political Party Committee,114.41,2025-01-06 00:00:00,Google,Mountain View,CA,94043,Office Equipment & Supplies,Software Subscription
COLORADO DEMOCRATIC PARTY,Political Party Committee,99.6,2025-01-06 00:00:00,Wild Taco,Denver,CO,80203,"Food, Beverages and Meals",Food For Staff
COLORADO DENTAL PAC (CODPAC),Political Committee,3875.0,2025-01-06 00:00:00,Colorado Democratic Party,Denver,CO,80203,Contributions,
COLORADO DENTAL PAC (CODPAC),Political Committee,2500.0,2025-01-06 00:00:00,Senate Majority Fund,Denver,CO,80205,Contributions,
COLORADO DENTAL PAC (CODPAC),Political Committee,2500.0,2025-01-06 00:00:00,New Day Colorado Fund,Fort Lupton,CO,80621,Contributions,
COLORADO DENTAL PAC (CODPAC),Political Committee,560.0,2025-01-06 00:00:00,All Together Colorado,Denver,CO,80206,Contributions,
COLORADO DENTAL PAC (CODPAC),Political Committee,565.0,2025-01-06 00:00:00,Colorado Way Forward,Denver,CO,80206,Contributions,
COLORADO HEALTH CARE ASSOCIATION PC,Political Committee,5000.0,2025-01-06 00:00:00,New Day Colorado Fund,Fort Lupton,CO,80621,Contributions,
COLORADO HEALTH CARE ASSOCIATION PC,Political Committee,10000.0,2025-01-06 00:00:00,Senate Majority Fund,Denver,CO,80205,Contributions,
COLORADO HEALTH CARE ASSOCIATION PC,Political Committee,10000.0,2025-01-06 00:00:00,All Together Colorado,Denver,CO,80206,Contributions,
COLORADO HEALTH CARE ASSOCIATION PC,Political Committee,5000.0,2025-01-06 00:00:00,Colorado Way Forward,Denver,CO,80206,Contributions,
COMMITTEE FOR PHYSICIAN ANESTHESIA CARE,Political Committee,150.0,2025-01-06 00:00:00,New Day Colorado Fund,Fort Lupton,CO,80621,Contributions,
COMMITTEE FOR PHYSICIAN ANESTHESIA CARE,Political Committee,450.0,2025-01-06 00:00:00,Bird For Colorado,Redacted By Sos,CO,99999,Contributions,
COMMITTEE FOR PHYSICIAN ANESTHESIA CARE,Political Committee,450.0,2025-01-06 00:00:00,Carson For State Senate,Highlands Ranch,CO,80130-9998,Contributions,
COPIC SMALL DONOR COMMITTEE,Small Donor Committee,4400.0,2025-01-06 00:00:00,Bird For Colorado,Redacted By Sos,CO,99999,Contributions,Misc Campaign Contribution
DEMOCRATIC PARTY CONGRESSIONAL DISTRICT 4 COLORADO,Political Party Committee,34.0,2025-01-06 00:00:00,Atlassian (Jira),Mountain View,CA,94041,Advertising,Jira - Admin App
DEMOCRATIC PARTY CONGRESSIONAL DISTRICT 4 COLORADO,Political Party Committee,1.02,2025-01-06 00:00:00,Bank Transfer - Us Bank Accounts,Parker,CO,80134,Bank Fees,International Cc Processing Fee
DEMOCRATIC PARTY CONGRESSIONAL DISTRICT 4 COLORADO,Political Party Committee,-1.02,2025-01-06 00:00:00,Bank Transfer - Us Bank Accounts,Parker,CO,80134,Bank Fees,Offset Due To Update Of Filed Item - International Cc Processing Fee
DEMOCRATIC PARTY CONGRESSIONAL DISTRICT 4 COLORADO,Political Party Committee,1.02,2025-01-06 00:00:00,Us Bank,Parker,CO,80134,Bank Fees,International Cc Processing Fee
EDUCATORS FOR PUBLIC EDUCATION,Political Committee,2500.0,2025-01-06 00:00:00,Colorado Democratic Party,Denver,CO,80203,Contributions,Contribution To Cdp
GREENCO PC,Political Committee,500.0,2025-01-06 00:00:00,Colorado Democratic Party Political Committee,Denver,CO,80203,Contributions,Colorado House Majority Project - 1/6/2025 Fundraiser Event
INVESTHER,Political Committee,22.71,2025-01-06 00:00:00,Squarespace Inc.,New York,NY,10014,Other,Website & Email Hosting
LIBERTARIAN PARTY OF COLORADO (LPCO),Political Party Committee,1.45,2025-01-06 00:00:00,Stripe.Com,South San Francisco,CA,94080,Bank Fees,Credit Card Fees
MEGHAN LUKENS FOR CO LEADERSHIP PAC,Political Committee,97.31,2025-01-06 00:00:00,Target Stores,Lakewood,CO,80226,Office Equipment & Supplies,
PIPEFITTERS LOCAL 208 POLITICAL EDUCATION COMMITTEE,Small Donor Committee,1000.0,2025-01-06 00:00:00,Democratic Senate Campaign Fund,Denver,CO,80204,Contributions,Democratic Senate Campaign
"RX PHARMACIES PLUS, INC - POLITICAL ACTION COMMITTEE",Political Committee,225.0,2025-01-06 00:00:00,Janice  Rich,Grand Junction,CO,81506,Contributions,
"RX PHARMACIES PLUS, INC - POLITICAL ACTION COMMITTEE",Political Committee,225.0,2025-01-06 00:00:00,Scott  Bright,Platteville,CO,80651,Contributions,
"RX PHARMACIES PLUS, INC - POLITICAL ACTION COMMITTEE",Political Committee,225.0,2025-01-06 00:00:00,Matt  Soper,Redacted By Sos,CO,99999,Contributions,
SNYDER FOR COLORADO LEADERSHIP FUND,Political Committee,3875.0,2025-01-06 00:00:00,Colorado Democratic Party,Denver,CO,80203,Contributions,
ARCHITECTS OF COLORADO SMALL DONOR COMMITTEE,Small Donor Committee,1000.0,2025-01-07 00:00:00,Bird For Colorado,Redacted By Sos,CO,99999,Contributions,
ARCHITECTS OF COLORADO SMALL DONOR COMMITTEE,Small Donor Committee,-1000.0,2025-01-07 00:00:00,Bird For Colorado,Redacted By Sos,CO,99999,Contributions,Offset Due To Deletion Of Filed Item
COLORADO BANKERS ASSOCIATION STATE PAC,Political Committee,1000.0,2025-01-07 00:00:00,Colorado Way Forward,Denver,CO,80206,Contributions,Donation
COLORADO FARM BUREAU POLITICAL COMMITTEE,Political Committee,450.0,2025-01-07 00:00:00,Scott Bright For Senate,Platteville,CO,80651,Contributions,
COLORADO FARM BUREAU POLITICAL COMMITTEE,Political Committee,225.0,2025-01-07 00:00:00,John  Carson,Highlands Ranch,CO,80130,Contributions,
COLORADO MEDICAL PAC (COMPAC),Political Committee,450.0,2025-01-07 00:00:00,Bird For Colorado,Redacted By Sos,CO,99999,Contributions,
COLORADO MEDICAL SOCIETY SMALL DONOR COMMITTEE,Small Donor Committee,6200.0,2025-01-07 00:00:00,Bird For Colorado,Redacted By Sos,CO,99999,Contributions,
EXUM LEADERSHIP FUND,Political Committee,1500.0,2025-01-07 00:00:00,Colorado Democratic Party,Denver,CO,80203,Other,Dues
FRIZELL LEADERSHIP PAC,Political Committee,450.0,2025-01-07 00:00:00,Carson For State Senate,Highlands Ranch,CO,80130-9998,Contributions,Contribution To Campaign Fund
LIBERTARIAN PARTY OF COLORADO (LPCO),Political Party Committee,1.65,2025-01-07 00:00:00,Stripe.Com,South San Francisco,CA,94080,Bank Fees,Credit Card Fees
PUTTING COLORADO FIRST,Political Committee,450.0,2025-01-07 00:00:00,Carson For State Senate,Highlands Ranch,CO,80130-9998,Contributions,
LESLIE HEROD'S BOLDLY FORWARD PAC,Political Committee,30.0,2025-01-08 00:00:00,Canva,Austin,TX,78702,Office Equipment & Supplies,
LESLIE HEROD'S BOLDLY FORWARD PAC,Political Committee,30.0,2025-01-08 00:00:00,Firstbank,Denver,CO,80203,Bank Fees,
LIBERTARIAN PARTY OF COLORADO (LPCO),Political Party Committee,5.49,2025-01-08 00:00:00,Stripe.Com,South San Francisco,CA,94080,Bank Fees,Credit Card Fees
ATMOS ENERGY CORPORATION PAC,Political Committee,2500.0,2025-01-09 00:00:00,All Together Colorado,Denver,CO,80206,Contributions,Contribution To 527 Political Committee
ATMOS ENERGY CORPORATION PAC,Political Committee,2500.0,2025-01-09 00:00:00,Colorado Way Forward,Denver,CO,80206,Contributions,Contribution To 527 Political Committee
ATMOS ENERGY CORPORATION PAC,Political Committee,2500.0,2025-01-09 00:00:00,New Day Colorado Fund,Fort Lupton,CO,80621,Contributions,Contribution To 527 Political Committee
ATMOS ENERGY CORPORATION PAC,Political Committee,2500.0,2025-01-09 00:00:00,Senate Majority Fund,Denver,CO,80205,Contributions,Contribution To 527 Political Committee
COLORADO DEMOCRATIC PARTY,Political Party Committee,3.0,2025-01-09 00:00:00,Denver Public Parking,Aurora,CO,80019,Travel & Lodging,Parking Fee
COLORADO DEMOCRATIC PARTY,Political Party Committee,181.09,2025-01-09 00:00:00,Sam  Jarris,Parker,CO,80138,"Food, Beverages and Meals",Reimbursement For Food And Beverage
COMMITTEE FOR PHYSICIAN ANESTHESIA CARE,Political Committee,-450.0,2025-01-09 00:00:00,Taggart For House District 55,Grand Junction,CO,81507,Returned Expenditure,Gave Over Allowed Amount
COMMITTEE FOR PHYSICIAN ANESTHESIA CARE,Political Committee,150.0,2025-01-09 00:00:00,All Together Colorado,Denver,CO,80206,Contributions,
PUEBLO COUNTY EDUCATION ASSOCIATION SMALL DONOR COMMITTEE (PCEA SDC),Small Donor Committee,6.0,2025-01-09 00:00:00,Wendy  Chandler,Rye,CO,81069,Other,Check # 1103 Emo Refund 2024-25
COLORADO CENTER PARTY CENTRAL COMMITTEE,Political Party Committee,95.0,2025-01-10 00:00:00,Campaign Verify,Washington,DC,20007,Miscellaneous,
COLORADO CENTER PARTY CENTRAL COMMITTEE,Political Party Committee,1.07,2025-01-10 00:00:00,Paypal Inc.,San Jose,CA,95131,Bank Fees,
COLORADO CREDIT UNION POLITICAL ACTION COMMITTEE,Political Committee,54.95,2025-01-10 00:00:00,Forte Payment Systems,Allen,TX,75013,Bank Fees,
COLORADO DEMOCRATIC PARTY,Political Party Committee,101.26,2025-01-10 00:00:00,Leven Deli Co.,Denver,CO,80204,"Food, Beverages and Meals",Food And Beverage For Meeting
COLORADO PETROLEUM PAC,Political Committee,-100.0,2025-01-10 00:00:00,Building Bridges For Colorado,Redacted By Sos,CO,99999,Returned Expenditure,Check Was Never Cashed And Voided.
COLORADO REPUBLICAN LEADERSHIP FUND,Political Committee,400.0,2025-01-10 00:00:00,"Strategic Compliance, Llc","Denver, Co",CO,80205,Consultant & Professional Services,
LIBERTARIAN PARTY OF COLORADO (LPCO),Political Party Committee,30.45,2025-01-10 00:00:00,Fdms,Greenwood Village,CO,80111,Bank Fees,Service Fees
LIBERTY LEADERSHIP POLITICAL ACTION COMMITTEE,Political Committee,400.0,2025-01-10 00:00:00,"Strategic Compliance, Llc",Denver,CO,80205,Consultant & Professional Services,
RURAL LEADERSHIP POLITICAL ACTION COMMITTEE,Political Committee,400.0,2025-01-10 00:00:00,"Strategic Compliance, Llc",Denver,CO,80205,Consultant & Professional Services,
THE CIGNA GROUP EMPLOYEE POLITICAL ACTION COMMITTEE,Political Committee,2500.0,2025-01-10 00:00:00,All Together Colorado,Denver,CO,80206,Contributions,2025 Contribution
THE RIGHT LEADERSHIP PAC,Political Committee,400.0,2025-01-10 00:00:00,"Strategic Compliance, Llc",Denver,CO,80205,Consultant & Professional Services,
UNITED MINE WORKERS OF AMERICA,Political Committee,2500.0,2025-01-10 00:00:00,,,,,Contributions,Contributions To Non Co Candidates
DEMOCRATIC PARTY CONGRESSIONAL DISTRICT 4 COLORADO,Political Party Committee,0.79,2025-01-12 00:00:00,Actblue Technical Services,Somerville,MA,02144,Other,Cc Processing Fee
MONICA PAC,Political Committee,3.95,2025-01-12 00:00:00,Actblue,West Somerville,MA,02144,Fundraising Expenses,
COLORADO DEMOCRATIC PARTY,Political Party Committee,34.91,2025-01-13 00:00:00,Zoom,San Jose,CA,95113,Travel & Lodging,Web Conferencing Services
DOCTORS COMPANY COLORADO PAC (COLORADO DOCPAC),Political Committee,26.64,2025-01-13 00:00:00,Wells Fargo Bank,Santa Rosa,CA,95401,Bank Fees,Monthly Bank Fee
FRIENDS OF COLORADO HOSPITALS (F/K/A HOSPITALS EXPRESS LEGISLATIVE PREFERENCE),Political Committee,85.12,2025-01-13 00:00:00,,,,,Bank Fees,Jan Bank Fees
GRISWOLD LEADERSHIP PAC,Political Committee,2.0,2025-01-13 00:00:00,,,,,Bank Fees,
LIBERTARIAN PARTY OF COLORADO (LPCO),Political Party Committee,49.95,2025-01-13 00:00:00,Clover App,Sunnyvale,CA,94085,Bank Fees,Service Fees
MANNY RUTINEL LEADERSHIP FUND,Political Committee,25.0,2025-01-13 00:00:00,Adams County Democratic Party (A.C.D.C.C),Westminster,CO,80031,Contributions,
THE COLEMAN LEADERSHIP FUND,Political Committee,3850.0,2025-01-13 00:00:00,Denver Senate Caucus Fund,Denver,CO,80203,Contributions,
THE COLEMAN LEADERSHIP FUND,Political Committee,250.0,2025-01-13 00:00:00,Denver Senate Caucus Fund,Denver,CO,80203,Other,Leadership Lunch
DEMOCRATIC PARTY CONGRESSIONAL DISTRICT 4 COLORADO,Political Party Committee,24.25,2025-01-14 00:00:00,Intuit Quickbooks,Mountain View,CA,94043,Fundraising Expenses,Bookkeeping App
LUNDEEN LEADERSHIP FUND,Political Committee,153.52,2025-01-14 00:00:00,Brown Palace,Denver,CO,80202,Other,6890 ∑ Other Meeting Expense
REPUBLIC SERVICES INC. EMPLOYEES FOR BETTER GOVERNMENT PAC,Political Committee,-400.0,2025-01-14 00:00:00,Bird For Colorado,Redacted By Sos,CO,99999,Returned Expenditure,Check Voided: Original Issue Date 10/24/2024
COLORADO CENTER PARTY CENTRAL COMMITTEE,Political Party Committee,1.07,2025-01-15 00:00:00,Paypal Inc.,San Jose,CA,95131,Bank Fees,
COLORADO CENTER PARTY CENTRAL COMMITTEE,Political Party Committee,1.07,2025-01-15 00:00:00,Paypal Inc.,San Jose,CA,95131,Bank Fees,
COLORADO DEMOCRATIC PARTY,Political Party Committee,20.0,2025-01-15 00:00:00,Squarespace Inc,New York,NY,10014,Office Equipment & Supplies,Software License
COLORADO DEMOCRATIC PARTY,Political Party Committee,10.0,2025-01-15 00:00:00,The Action Network,New York,NY,10016,Office Equipment & Supplies,Subscription
COLORADO RADIOLOGICAL SOCIETY POLITICAL COMMITTEE,Political Committee,6.0,2025-01-15 00:00:00,,,,,Bank Fees,
COMMITTEE FOR PHYSICIAN ANESTHESIA CARE,Political Committee,30.0,2025-01-15 00:00:00,,,,,Bank Fees,
FIELDS FOR COLORADO LEADERSHIP FUND,Political Committee,25.0,2025-01-15 00:00:00,Colorado Democratic Party,Denver,CO,80203,Contributions,
LIBERTARIAN PARTY OF COLORADO (LPCO),Political Party Committee,4.17,2025-01-15 00:00:00,Stripe.Com,South San Francisco,CA,94080,Bank Fees,Credit Card Fees
UFCW LOCAL 7 POLITICAL COMMITTEE,Political Committee,1500.0,2025-01-15 00:00:00,Ufcw Local 7,Wheat Ridge,CO,80033,Other,Internal Transfer Out Of Account To Fund New Account.
US ANESTHESIA PARTNERS COLORADO STATE COMMITTEE,Political Committee,66.57,2025-01-15 00:00:00,Bok Financial,Denver,CO,80217,Bank Fees,Bank Fee
VELASCO LEADERSHIP FUND,Political Committee,4.22,2025-01-15 00:00:00,Alpine Bank,Grand Junction,CO,81501,Bank Fees,Account Activity Fee
PROGRESSIVE VALUES SDC,Small Donor Committee,50.0,2020-01-16 00:00:00,Secretary Of State,Denver,CO,80290,Other,Late Filing Fee To Sos
COLORADO DEMOCRATIC PARTY,Political Party Committee,2248.22,2025-01-16 00:00:00,Michael S Merrifield,Arvada,CO,80005,Employee Services,Payroll
COLORADO DEMOCRATIC PARTY,Political Party Committee,1364.85,2025-01-16 00:00:00,Paychex,Norristown,PA,19403,Employee Services,Payroll Taxes
COLORADO DEMOCRATIC PARTY,Political Party Committee,993.58,2025-01-16 00:00:00,Paychex,Norristown,PA,19403,Employee Services,Payroll Taxes
COLORADO DEMOCRATIC PARTY,Political Party Committee,2775.2,2025-01-16 00:00:00,Marykate  Wallace,Lafayette,CO,80026,Employee Services,Payroll
FREEPORT-MCMORAN COLORADO POLITICAL ACTION COMMITTEE,Political Committee,50.0,2025-01-16 00:00:00,Colorado Secretary Of State,Denver,CO,80290,Miscellaneous,Late Fee Payment To Co Sos
LIBERTARIAN PARTY OF COLORADO (LPCO),Political Party Committee,144.0,2025-01-16 00:00:00,Microsoft,Redmond,WA,98052,Office Equipment & Supplies,Ms 365
LIBERTARIAN PARTY OF COLORADO (LPCO),Political Party Committee,0.59,2025-01-16 00:00:00,Stripe.Com,South San Francisco,CA,94080,Bank Fees,Credit Card Fees
MANNY RUTINEL LEADERSHIP FUND,Political Committee,147.0,2025-01-16 00:00:00,Amazon,Seattle,WA,98109,Office Equipment & Supplies,Volunteer Supplies
ROSE PAC,Political Committee,800.0,2025-01-16 00:00:00,House Republican Caucus,Washington,D.,20515,Travel & Lodging,
TAKE COLO BACK POLITICAL COMM,Political Committee,800.0,2025-01-16 00:00:00,House Republican Caucus,Washington,D.,20515,Travel & Lodging,
THE COLEMAN LEADERSHIP FUND,Political Committee,2850.0,2025-01-16 00:00:00,Kevin  Mohatt,Denver,CO,80204,Other,Staff Photos
BUILDING BRIDGES FOR COLORADO,Political Committee,2.0,2025-01-17 00:00:00,1St Bank,Lakewood,CO,80215,Bank Fees,
CHRIS KOLKER LEADERSHIP FUND,Political Committee,450.0,2025-01-17 00:00:00,Eliza C Hamrick,Centennial,CO,80016,Contributions,
CHRIS KOLKER LEADERSHIP FUND,Political Committee,600.0,2025-01-17 00:00:00,Sweetland For Centennial,Centennial,CO,80161,Contributions,
CHRIS KOLKER LEADERSHIP FUND,Political Committee,-600.0,2025-01-17 00:00:00,Sweetland For Centennial,Centennial,CO,80161,Contributions,Offset Due To Update Of Filed Item
CHRIS KOLKER LEADERSHIP FUND,Political Committee,600.0,2025-01-17 00:00:00,Sweetland For Centennial,Centennial,CO,80161,Contributions,Candidate For Mayor Of Centennial Christine Sweetland
COLORADO DEMOCRATIC PARTY,Political Party Committee,1.25,2025-01-17 00:00:00,Denver Public Parking,Aurora,CO,80019,Travel & Lodging,Parking Fee
COLORADO REPUBLICAN COMMITTEE,Political Party Committee,74.38,2025-01-17 00:00:00,Letters Plus,Centennial,CO,80112,Advertising,Small Advertising Mailer
