District,candidate_name,expenditure_amount,expenditure_date,recipient,city,state,zip,expenditure_type,explanation
House District 01,"MABREY, JAVIER",2.0,2025-12-31 00:00:00,First Bank,Lakewood,CO,80235,Bank Fees,
House District 01,"MABREY, JAVIER",31.6,2025-12-31 00:00:00,Office Depot,Lakewood,CO,80226,Office Equipment & Supplies,
House District 01,"MONTOYA, JOSEPH",,,,,,,,
House District 02,"BALDERMANN, SCOTT",,,,,,,,
House District 02,"NEIL, MICHAEL",95.49,2025-08-18 00:00:00,Act Blue Inc.,Somerville,MA,02144,Bank Fees,
House District 02,"NEIL, MICHAEL",98.88,2025-08-26 00:00:00,Act Blue Inc.,Somerville,MA,02144,Bank Fees,
House District 02,"NEIL, MICHAEL",37.13,2025-09-04 00:00:00,Act Blue Inc.,Somerville,MA,02144,Bank Fees,
House District 02,"NEIL, MICHAEL",186.9,2025-09-07 00:00:00,Coblue Llc,Denver,CO,80218,Other,Software
House District 02,"NEIL, MICHAEL",500.0,2025-09-07 00:00:00,Coblue Llc,Denver,CO,80218,Consultant & Professional Services,Campaign Launch
House District 02,"NEIL, MICHAEL",500.0,2025-09-08 00:00:00,Jane  Ringer,Littleton,CO,80120,Consultant & Professional Services,Campaign Finance Launch
House District 02,"NEIL, MICHAEL",27.69,2025-09-10 00:00:00,Act Blue Inc.,Somerville,MA,02144,Bank Fees,
House District 02,"NEIL, MICHAEL",38.14,2025-09-15 00:00:00,Act Blue Inc.,Somerville,MA,02144,Bank Fees,
House District 02,"NEIL, MICHAEL",49.21,2025-09-25 00:00:00,Act Blue Inc.,Somerville,MA,02144,Bank Fees,
House District 02,"NEIL, MICHAEL",432.85,2025-09-29 00:00:00,Colorado Democratic Party,Denver,CO,80203,Other,Software-Van
House District 02,"NEIL, MICHAEL",32.51,2025-09-30 00:00:00,Act Blue Inc.,Somerville,MA,02144,Bank Fees,
House District 02,"NEIL, MICHAEL",16.41,2025-09-30 00:00:00,Act Blue Inc.,Somerville,MA,02144,Bank Fees,
House District 02,"NEIL, MICHAEL",1.98,2025-10-05 00:00:00,Actblue Technical Services,Boston,MA,02196,Bank Fees,Service Fee On Direct Deposit Of $50 In Contributions (Total Deposit Was $48.02)
House District 02,"NEIL, MICHAEL",3.95,2025-10-12 00:00:00,Actblue Technical Services,Boston,MA,02196,Bank Fees,Actblue Service Fee Charged On Direct Deposit Of $100 (Net Deposit Was $96.05)
House District 02,"NEIL, MICHAEL",9.71,2025-10-19 00:00:00,Actblue Technical Services,Boston,MA,02196,Bank Fees,Actblue Service Fee Charged On Direct Deposit Of $245 (Net Deposit Was $235.29). Listed Account/Reference Number Is Actblue'S Direct Deposit Number.
House District 02,"NEIL, MICHAEL",9.29,2025-10-26 00:00:00,Actblue Technical Services,Boston,MA,02196,Bank Fees,Actblue Service Fee On $235 Deposit (Net Deposit $225.71)
House District 02,"NEIL, MICHAEL",111.83,2025-10-27 00:00:00,Gamino Printing Company,Denver,CO,80223,Office Equipment & Supplies,Business Cards
House District 02,"NEIL, MICHAEL",4.76,2025-11-02 00:00:00,Actblue Technical Services,Boston,MA,02196,Bank Fees,Actblue Service Fee On $120 Deposit (Net Deposit $115.24)
House District 02,"NEIL, MICHAEL",3.41,2025-11-09 00:00:00,Actblue Technical Services,Boston,MA,02196,Bank Fees,Actblue Service Fee On $86 Deposit (Net Deposit $82.59)
House District 02,"NEIL, MICHAEL",696.38,2025-11-14 00:00:00,Serene Cuisine Of India,Denver,CO,80210,"Food, Beverages and Meals",Event Space And Food For Kickoff Event.
House District 02,"NEIL, MICHAEL",68.65,2025-11-16 00:00:00,Actblue Technical Services,Boston,MA,02196,Bank Fees,"Actblue Service Fee On $1,735.00 Deposit (Net Deposit $1,666.35)"
House District 02,"NEIL, MICHAEL",810.63,2025-11-18 00:00:00,Serene Cuisine Of India,Denver,CO,80210,"Food, Beverages and Meals",Food For Kickoff Event.
House District 02,"NEIL, MICHAEL",35.58,2025-11-23 00:00:00,Actblue Technical Services,Boston,MA,02196,Bank Fees,Actblue Service Fee On $900 Deposit (Net Deposit $864.42)
House District 02,"NEIL, MICHAEL",10.09,2025-11-30 00:00:00,Actblue Technical Services,Boston,MA,02196,Bank Fees,Actblue Service Fee On $255 Deposit (Net Deposit $244.91)
House District 02,"NEIL, MICHAEL",22.54,2025-12-14 00:00:00,Actblue Technical Services,Boston,MA,02196,Bank Fees,Actblue Service Fee On $570 Deposit (Net Deposit $547.46)
House District 02,"NEIL, MICHAEL",10.47,2025-12-21 00:00:00,Actblue Technical Services,Boston,MA,02196,Bank Fees,Actblue Service Fee On $265 Deposit (Net Deposit $254.53)
House District 02,"NEIL, MICHAEL",22.53,2025-12-28 00:00:00,Actblue Technical Services,Boston,MA,02196,Bank Fees,Actblue Service Fee On $570 Deposit (Net Deposit $547.47).
House District 02,"NEIL, MICHAEL",39.38,2025-12-31 00:00:00,Actblue Technical Services,Boston,MA,02196,Bank Fees,Actblue Service Fee On $996 Deposit (Net Deposit $956.62).
House District 02,"WINCHESTER, TRACY",106.86,2025-12-12 00:00:00,Gamino Printing,Denver,CO,80223,Fundraising Expenses,Business Cards
House District 02,"WINCHESTER, TRACY",17.78,2025-12-16 00:00:00,Act Blue,Somerville,MA,02144,Bank Fees,
House District 02,"WINCHESTER, TRACY",1.98,2025-12-17 00:00:00,Act Blue,Somerville,CO,02144,Bank Fees,
House District 02,"WINCHESTER, TRACY",15.8,2025-12-17 00:00:00,Act Blue,Somerville,CO,02144,Bank Fees,
House District 02,"WINCHESTER, TRACY",9.88,2025-12-17 00:00:00,Act Blue,Somerville,CO,02144,Bank Fees,
House District 02,"WINCHESTER, TRACY",17.78,2025-12-18 00:00:00,Act Blue,Somerville,CO,02144,Bank Fees,
House District 02,"WINCHESTER, TRACY",3.95,2025-12-18 00:00:00,Act Blue,Somerville,CO,02144,Bank Fees,
House District 02,"WINCHESTER, TRACY",17.78,2025-12-19 00:00:00,Act Blue,Somerville,CO,02144,Bank Fees,
House District 02,"WINCHESTER, TRACY",9.88,2025-12-28 00:00:00,Act Blue,Somerville,CO,02144,Bank Fees,
House District 03,"BARLOW-ROACH, MICHAEL",24.0,2025-04-12 00:00:00,Kapwing,San Francisco,CA,94102,Miscellaneous,
House District 03,"BARLOW-ROACH, MICHAEL",119.93,2025-05-23 00:00:00,Vista,Waltham,MA,02451,Advertising,
House District 03,"BARLOW-ROACH, MICHAEL",33.6,2025-06-02 00:00:00,Google Llc,Mountain View,CA,94043,Advertising,
House District 03,"BARLOW-ROACH, MICHAEL",19.47,2025-06-11 00:00:00,Wix Inc.,Los Angeles,CA,90028,Advertising,
House District 03,"BARLOW-ROACH, MICHAEL",16.8,2025-07-30 00:00:00,Google Llc,Mountain View,CA,94043,Advertising,
House District 03,"BARLOW-ROACH, MICHAEL",400.0,2025-08-11 00:00:00,Ngp Van,Washington,DC,20005,Consultant & Professional Services,
House District 03,"BARLOW-ROACH, MICHAEL",129.93,2025-08-27 00:00:00,Amazon,Seattle,WA,98108,Miscellaneous,Canopy
House District 03,"BARLOW-ROACH, MICHAEL",252.75,2025-08-27 00:00:00,Tablecoversnow,Stafford,TX,77477,Miscellaneous,Table Cover
House District 03,"BARLOW-ROACH, MICHAEL",16.8,2025-08-30 00:00:00,Google Llc,Mountain View,CA,94043,Advertising,
House District 03,"BARLOW-ROACH, MICHAEL",116.73,2025-08-30 00:00:00,Nextdayflyers,Los Angeles,CA,91406,Advertising,Posters
House District 03,"BARLOW-ROACH, MICHAEL",36.64,2025-08-31 00:00:00,Amazon,Seattle,WA,98108,Miscellaneous,Tablecloth
House District 03,"BARLOW-ROACH, MICHAEL",15.0,2025-09-07 00:00:00,Canva,Austin,TX,78702,Office Equipment & Supplies,Graphic Design
House District 03,"BARLOW-ROACH, MICHAEL",20.76,2025-09-11 00:00:00,Mailchimp,Atlanta,GA,30308,Advertising,Mailing Service
House District 03,"BARLOW-ROACH, MICHAEL",16.8,2025-09-30 00:00:00,Google Llc,Mountain View,CA,94043,Advertising,
House District 03,"BARLOW-ROACH, MICHAEL",369.88,2025-10-08 00:00:00,Vistaprint,Lexington,MA,02421,Advertising,"Flyers, Postcards, Printed Handouts"
House District 03,"BARLOW-ROACH, MICHAEL",90.0,2025-10-09 00:00:00,Englewood Recreation Center,Englewood,CO,80110,Fundraising Expenses,Fundraising Event Space Rental
House District 03,"BARLOW-ROACH, MICHAEL",155.5,2025-10-22 00:00:00,Costco,Englewood,CO,80110,Office Equipment & Supplies,"Stamps, Halloween Candy For Fundraising Events"
House District 03,"BARLOW-ROACH, MICHAEL",450.0,2025-11-17 00:00:00,Lgbtq+ Victory Institute,Washington,DC,20005,Consultant & Professional Services,Candidate Training
House District 03,"OZOLS, GENA",32.0,2025-03-04 00:00:00,Ionos,Philadelphia,PA,19103,Consultant & Professional Services,Domain Registration
House District 03,"OZOLS, GENA",8.0,2025-05-08 00:00:00,Neverbounce,Vancouver,WA,98660,Consultant & Professional Services,
House District 03,"OZOLS, GENA",3.1,2025-05-08 00:00:00,Fedex,Denver,CO,80202,Advertising,
House District 03,"OZOLS, GENA",4.9,2025-05-13 00:00:00,Office Depot,Denver,CO,80222,Advertising,
House District 03,"OZOLS, GENA",300.0,2025-05-21 00:00:00,Mims  Photo Arts,Merryfield,VA,22116,Consultant & Professional Services,
House District 03,"OZOLS, GENA",77.85,2025-05-22 00:00:00,Mailchimp,Atlanta,GA,30312,Miscellaneous,
House District 03,"OZOLS, GENA",544.19,2025-06-05 00:00:00,Act Blue,Somerville,CO,02144,Bank Fees,Credit Card Fees 4/1-6/4
House District 03,"OZOLS, GENA",94.0,2025-06-05 00:00:00,United States Postal Service,Englewood,CO,80110,Other,Post Office Box
House District 03,"OZOLS, GENA",10.5,2025-06-14 00:00:00,Office Depot,Denver,CO,80222,Advertising,
House District 03,"OZOLS, GENA",8.0,2025-06-15 00:00:00,Neverbounce,Vancouver,WA,98660,Consultant & Professional Services,
House District 03,"OZOLS, GENA",8.0,2025-06-15 00:00:00,Neverbounce,Vancouver,WA,98660,Consultant & Professional Services,
House District 03,"OZOLS, GENA",619.83,2025-06-20 00:00:00,Corazon Printing,Broomfield,CO,80020,Advertising,
House District 03,"OZOLS, GENA",200.0,2025-07-29 00:00:00,City Of Englewood,Englewood,CO,80110,Advertising,Sheridan Celebrates
House District 03,"OZOLS, GENA",116.93,2025-08-07 00:00:00,Corazon Printing,Broomfield,CO,80020,Office Equipment & Supplies,Printing Thank You Cards For Donors
House District 03,"OZOLS, GENA",1250.0,2025-08-08 00:00:00,Eris Consulting,Englewood,CO,80110,Consultant & Professional Services,Campaign And Financial Planning Work
House District 03,"OZOLS, GENA",225.0,2025-08-08 00:00:00,City Of Englewood,Englewood,CO,80110,Advertising,Englewood Block Party
House District 03,"OZOLS, GENA",4000.0,2025-08-19 00:00:00,Henery  Standard,Denver,CO,80203,Employee Services,Salary For Staff Support
House District 03,"OZOLS, GENA",120.25,2025-09-23 00:00:00,Amazon,Seattle,WA,98109-5210,Office Equipment & Supplies,Popcorn Bag Label Materials
House District 03,"OZOLS, GENA",321.59,2025-09-23 00:00:00,Denver Democratic Party:,Denver,CO,80231,Advertising,Advertising
House District 03,"OZOLS, GENA",100.69,2025-09-25 00:00:00,Amazon,Seattle,WA,98109-5210,Office Equipment & Supplies,Popcorn Bags For Sheridan Celebrates
House District 03,"OZOLS, GENA",432.85,2025-11-17 00:00:00,Colorado Democratic Party,Denver,CO,80203,Fundraising Expenses,Access To Colorado Van
House District 03,"OZOLS, GENA",188.0,2025-11-24 00:00:00,Usps,Englewood,CO,80110,Rent & Utilities,Po Box Renewals
House District 03,"OZOLS, GENA",24.0,2025-11-30 00:00:00,Wix,New York,NY,10014,Other,Website
House District 03,"OZOLS, GENA",24.0,2025-12-02 00:00:00,Wix,New York,NY,10014,Other,Website
House District 03,"OZOLS, GENA",58.93,2025-12-09 00:00:00,Office Depot,Denver,CO,80222,Fundraising Expenses,
House District 03,"OZOLS, GENA",390.0,2025-12-09 00:00:00,Usps,Englewood,CO,80110,Fundraising Expenses,Postage
House District 03,"OZOLS, GENA",224.64,2025-12-10 00:00:00,Access Printing,Englewood,CO,80113,Fundraising Expenses,Printing - Holiday Fundraising Letter
House District 03,"OZOLS, GENA",46.71,2025-12-18 00:00:00,Mailchimp,Atlanta,GA,30308,Fundraising Expenses,Email List
House District 03,"OZOLS, GENA",514.4,2025-12-31 00:00:00,Act Blue,Somerville,MA,02144-3132,Other,Act Blue Fees
House District 03,"WILLIAMS, DAVON",,,,,,,,
House District 03,"WINEGAR, REBECCA",,,,,,,,
House District 04,"ESPENOZA, CECELIA",45.28,2025-01-02 00:00:00,Google Llc,Mountian View,CA,94046,Office Equipment & Supplies,Subscription For Campaign Related Technology
House District 04,"ESPENOZA, CECELIA",5.0,2025-01-02 00:00:00,Firstbank,Lakewood,CO,80215,Bank Fees,Bank Fee
House District 04,"ESPENOZA, CECELIA",41.92,2025-01-06 00:00:00,Zenpayroll Inc (Dba Gusto),San Francisco,CA,94107,Employee Services,
House District 04,"ESPENOZA, CECELIA",47.32,2025-01-15 00:00:00,Mailchimp,Atlanta,GA,30308,Office Equipment & Supplies,
House District 04,"ESPENOZA, CECELIA",247.0,2025-01-17 00:00:00,Pinnacol Assurance,Denver,CO,80230,Employee Services,Workers' Compensation Insurance
House District 04,"ESPENOZA, CECELIA",4.0,2025-01-31 00:00:00,Firstbank,Lakewood,CO,80215,Bank Fees,
House District 04,"ESPENOZA, CECELIA",45.42,2025-02-03 00:00:00,Google Llc,Mountian View,CA,94046,Office Equipment & Supplies,
House District 04,"ESPENOZA, CECELIA",5.0,2025-02-03 00:00:00,Firstbank,Lakewood,CO,80215,Bank Fees,
House District 04,"ESPENOZA, CECELIA",42.06,2025-02-05 00:00:00,Zenpayroll Inc (Dba Gusto),San Francisco,CA,94107,Employee Services,
House District 04,"ESPENOZA, CECELIA",47.32,2025-02-18 00:00:00,Mailchimp,Atlanta,GA,30308,Office Equipment & Supplies,
House District 04,"ESPENOZA, CECELIA",4.0,2025-02-28 00:00:00,Firstbank,Lakewood,CO,80215,Bank Fees,
House District 04,"ESPENOZA, CECELIA",45.42,2025-03-03 00:00:00,Google Llc,Mountian View,CA,94046,Office Equipment & Supplies,
House District 04,"ESPENOZA, CECELIA",4.0,2025-03-03 00:00:00,Firstbank,Lakewood,CO,80215,Bank Fees,
House District 04,"ESPENOZA, CECELIA",42.06,2025-03-05 00:00:00,Zenpayroll Inc (Dba Gusto),San Francisco,CA,94107,Employee Services,
House District 04,"ESPENOZA, CECELIA",47.32,2025-03-17 00:00:00,Mailchimp,Atlanta,GA,30308,Office Equipment & Supplies,
House District 04,"ESPENOZA, CECELIA",5.0,2025-03-31 00:00:00,Firstbank,Lakewood,CO,80215,Bank Fees,
House District 04,"ESPENOZA, CECELIA",5.0,2025-04-01 00:00:00,Firstbank,Lakewood,CO,80215,Bank Fees,Bank Fee
House District 04,"ESPENOZA, CECELIA",45.42,2025-04-02 00:00:00,Google Llc,Mountian View,CA,94046,Office Equipment & Supplies,Gsuite Subscription
House District 04,"ESPENOZA, CECELIA",51.52,2025-04-03 00:00:00,Zenpayroll Inc (Dba Gusto),San Francisco,CA,94107,Employee Services,Payroll Services
House District 04,"ESPENOZA, CECELIA",4.0,2025-04-08 00:00:00,Zenpayroll Inc (Dba Gusto),San Francisco,CA,94107,Employee Services,Tax
House District 04,"ESPENOZA, CECELIA",47.32,2025-04-15 00:00:00,Mailchimp,Atlanta,GA,30308,Office Equipment & Supplies,Email Communication Subscription
