committee,committee_type,expenditure_amount,expenditure_date,recipient,city,state,zip,expenditure_type,explanation
COLORADO OPTOMETRIC ASSOCIATION SMALL DONOR COMMITTEE,Small Donor Committee,1200,1/3/25,New Day Colorado Fund,Fort Lupton,CO,80621,Contributions,
COLORADO OPTOMETRIC ASSOCIATION SMALL DONOR COMMITTEE,Small Donor Committee,1000,1/3/25,Senate Majority Fund,Denver,CO,80205,Contributions,
LIBERTARIAN PARTY OF COLORADO (LPCO),Political Party Committee,9.95,1/3/25,Merch Bnkcd Sd Fee,Thousand Oaks,CA,91361,Bank Fees,Bank Fees
LIBERTARIAN PARTY OF COLORADO (LPCO),Political Party Committee,99,1/3/25,Merch Bnkcd Sd Fee,Thousand Oaks,CA,91361,Bank Fees,Bank Fees
LIBERTARIAN PARTY OF COLORADO (LPCO),Political Party Committee,1.42,1/3/25,Stripe.Com,South San Francisco,CA,94080,Bank Fees,Credit Card Fees
CHINOOK POLITICAL COMMITTEE,Political Committee,116,1/4/25,United States Postal Service - 81416,Delta,CO,81416,Rent & Utilities,1/2 Po Box Rental
ADAMS EDUCATORS FOR PUBLIC EDUCATION,Small Donor Committee,67.5,1/5/25,,,,,Other,Intuit
DEMOCRATIC PARTY CONGRESSIONAL DISTRICT 4 COLORADO,Political Party Committee,0.99,1/5/25,Actblue Technical Services,Somerville,MA,02144,Other,Cc Processing Fee
VELASCO LEADERSHIP FUND,Political Committee,0.79,1/5/25,Actblue,Somerville,MA,02144,Consultant & Professional Services,Actblue Fee
"AFT COLORADO FEDERATION OF TEACHERS, SCHOOL, HEALTH AND PUBLIC EMPLOYEES (SDC)",Small Donor Committee,1000,1/6/25,Colorado Democratic Party,Denver,CO,80203,Contributions,Senate Campaign Fund
"AFT COLORADO FEDERATION OF TEACHERS, SCHOOL, HEALTH AND PUBLIC EMPLOYEES (SDC)",Small Donor Committee,1000,1/6/25,Colorado Democratic Party,Denver,CO,80203,Contributions,Contribution
"COLORADO CHIROPRACTIC PAC (CCA, CC-PAC)",Political Committee,450,1/6/25,Duran For Colorado,Wheat Ridge,CO,80033,Contributions,
"COLORADO CHIROPRACTIC PAC (CCA, CC-PAC)",Political Committee,97.84,1/6/25,Affinipay,Austin,TX,78746,Bank Fees,
COLORADO DEMOCRATIC PARTY,Political Party Committee,67.92,1/6/25,Google,Mountain View,CA,94043,Office Equipment & Supplies,Software Subscription
COLORADO DEMOCRATIC PARTY,Political Party Committee,114.41,1/6/25,Google,Mountain View,CA,94043,Office Equipment & Supplies,Software Subscription
COLORADO DEMOCRATIC PARTY,Political Party Committee,99.6,1/6/25,Wild Taco,Denver,CO,80203,"Food, Beverages and Meals",Food For Staff
COLORADO DENTAL PAC (CODPAC),Political Committee,3875,1/6/25,Colorado Democratic Party,Denver,CO,80203,Contributions,
COLORADO DENTAL PAC (CODPAC),Political Committee,2500,1/6/25,Senate Majority Fund,Denver,CO,80205,Contributions,
COLORADO DENTAL PAC (CODPAC),Political Committee,2500,1/6/25,New Day Colorado Fund,Fort Lupton,CO,80621,Contributions,
COLORADO DENTAL PAC (CODPAC),Political Committee,560,1/6/25,All Together Colorado,Denver,CO,80206,Contributions,
COLORADO DENTAL PAC (CODPAC),Political Committee,565,1/6/25,Colorado Way Forward,Denver,CO,80206,Contributions,
COLORADO HEALTH CARE ASSOCIATION PC,Political Committee,5000,1/6/25,New Day Colorado Fund,Fort Lupton,CO,80621,Contributions,
COLORADO HEALTH CARE ASSOCIATION PC,Political Committee,10000,1/6/25,Senate Majority Fund,Denver,CO,80205,Contributions,
COLORADO HEALTH CARE ASSOCIATION PC,Political Committee,10000,1/6/25,All Together Colorado,Denver,CO,80206,Contributions,
COLORADO HEALTH CARE ASSOCIATION PC,Political Committee,5000,1/6/25,Colorado Way Forward,Denver,CO,80206,Contributions,
COMMITTEE FOR PHYSICIAN ANESTHESIA CARE,Political Committee,150,1/6/25,New Day Colorado Fund,Fort Lupton,CO,80621,Contributions,
COMMITTEE FOR PHYSICIAN ANESTHESIA CARE,Political Committee,450,1/6/25,Bird For Colorado,Redacted By Sos,CO,99999,Contributions,
COMMITTEE FOR PHYSICIAN ANESTHESIA CARE,Political Committee,450,1/6/25,Carson For State Senate,Highlands Ranch,CO,80130-9998,Contributions,
COPIC SMALL DONOR COMMITTEE,Small Donor Committee,4400,1/6/25,Bird For Colorado,Redacted By Sos,CO,99999,Contributions,Misc Campaign Contribution
DEMOCRATIC PARTY CONGRESSIONAL DISTRICT 4 COLORADO,Political Party Committee,34,1/6/25,Atlassian (Jira),Mountain View,CA,94041,Advertising,Jira - Admin App
DEMOCRATIC PARTY CONGRESSIONAL DISTRICT 4 COLORADO,Political Party Committee,1.02,1/6/25,Bank Transfer - Us Bank Accounts,Parker,CO,80134,Bank Fees,International Cc Processing Fee
DEMOCRATIC PARTY CONGRESSIONAL DISTRICT 4 COLORADO,Political Party Committee,-1.02,1/6/25,Bank Transfer - Us Bank Accounts,Parker,CO,80134,Bank Fees,Offset Due To Update Of Filed Item - International Cc Processing Fee
DEMOCRATIC PARTY CONGRESSIONAL DISTRICT 4 COLORADO,Political Party Committee,1.02,1/6/25,Us Bank,Parker,CO,80134,Bank Fees,International Cc Processing Fee
EDUCATORS FOR PUBLIC EDUCATION,Political Committee,2500,1/6/25,Colorado Democratic Party,Denver,CO,80203,Contributions,Contribution To Cdp
GREENCO PC,Political Committee,500,1/6/25,Colorado Democratic Party Political Committee,Denver,CO,80203,Contributions,Colorado House Majority Project - 1/6/2025 Fundraiser Event
INVESTHER,Political Committee,22.71,1/6/25,Squarespace Inc.,New York,NY,10014,Other,Website & Email Hosting
LIBERTARIAN PARTY OF COLORADO (LPCO),Political Party Committee,1.45,1/6/25,Stripe.Com,South San Francisco,CA,94080,Bank Fees,Credit Card Fees
MEGHAN LUKENS FOR CO LEADERSHIP PAC,Political Committee,97.31,1/6/25,Target Stores,Lakewood,CO,80226,Office Equipment & Supplies,
PIPEFITTERS LOCAL 208 POLITICAL EDUCATION COMMITTEE,Small Donor Committee,1000,1/6/25,Democratic Senate Campaign Fund,Denver,CO,80204,Contributions,Democratic Senate Campaign
"RX PHARMACIES PLUS, INC - POLITICAL ACTION COMMITTEE",Political Committee,225,1/6/25,Janice  Rich,Grand Junction,CO,81506,Contributions,
"RX PHARMACIES PLUS, INC - POLITICAL ACTION COMMITTEE",Political Committee,225,1/6/25,Scott  Bright,Platteville,CO,80651,Contributions,
"RX PHARMACIES PLUS, INC - POLITICAL ACTION COMMITTEE",Political Committee,225,1/6/25,Matt  Soper,Redacted By Sos,CO,99999,Contributions,
SNYDER FOR COLORADO LEADERSHIP FUND,Political Committee,3875,1/6/25,Colorado Democratic Party,Denver,CO,80203,Contributions,
ARCHITECTS OF COLORADO SMALL DONOR COMMITTEE,Small Donor Committee,1000,1/7/25,Bird For Colorado,Redacted By Sos,CO,99999,Contributions,
ARCHITECTS OF COLORADO SMALL DONOR COMMITTEE,Small Donor Committee,-1000,1/7/25,Bird For Colorado,Redacted By Sos,CO,99999,Contributions,Offset Due To Deletion Of Filed Item
COLORADO BANKERS ASSOCIATION STATE PAC,Political Committee,1000,1/7/25,Colorado Way Forward,Denver,CO,80206,Contributions,Donation
COLORADO FARM BUREAU POLITICAL COMMITTEE,Political Committee,450,1/7/25,Scott Bright For Senate,Platteville,CO,80651,Contributions,
COLORADO FARM BUREAU POLITICAL COMMITTEE,Political Committee,225,1/7/25,John  Carson,Highlands Ranch,CO,80130,Contributions,
COLORADO MEDICAL PAC (COMPAC),Political Committee,450,1/7/25,Bird For Colorado,Redacted By Sos,CO,99999,Contributions,
COLORADO MEDICAL SOCIETY SMALL DONOR COMMITTEE,Small Donor Committee,6200,1/7/25,Bird For Colorado,Redacted By Sos,CO,99999,Contributions,
EXUM LEADERSHIP FUND,Political Committee,1500,1/7/25,Colorado Democratic Party,Denver,CO,80203,Other,Dues
FRIZELL LEADERSHIP PAC,Political Committee,450,1/7/25,Carson For State Senate,Highlands Ranch,CO,80130-9998,Contributions,Contribution To Campaign Fund
LIBERTARIAN PARTY OF COLORADO (LPCO),Political Party Committee,1.65,1/7/25,Stripe.Com,South San Francisco,CA,94080,Bank Fees,Credit Card Fees
PUTTING COLORADO FIRST,Political Committee,450,1/7/25,Carson For State Senate,Highlands Ranch,CO,80130-9998,Contributions,
LESLIE HEROD'S BOLDLY FORWARD PAC,Political Committee,30,1/8/25,Canva,Austin,TX,78702,Office Equipment & Supplies,
LESLIE HEROD'S BOLDLY FORWARD PAC,Political Committee,30,1/8/25,Firstbank,Denver,CO,80203,Bank Fees,
LIBERTARIAN PARTY OF COLORADO (LPCO),Political Party Committee,5.49,1/8/25,Stripe.Com,South San Francisco,CA,94080,Bank Fees,Credit Card Fees
ATMOS ENERGY CORPORATION PAC,Political Committee,2500,1/9/25,All Together Colorado,Denver,CO,80206,Contributions,Contribution To 527 Political Committee
ATMOS ENERGY CORPORATION PAC,Political Committee,2500,1/9/25,Colorado Way Forward,Denver,CO,80206,Contributions,Contribution To 527 Political Committee
ATMOS ENERGY CORPORATION PAC,Political Committee,2500,1/9/25,New Day Colorado Fund,Fort Lupton,CO,80621,Contributions,Contribution To 527 Political Committee
ATMOS ENERGY CORPORATION PAC,Political Committee,2500,1/9/25,Senate Majority Fund,Denver,CO,80205,Contributions,Contribution To 527 Political Committee
COLORADO DEMOCRATIC PARTY,Political Party Committee,3,1/9/25,Denver Public Parking,Aurora,CO,80019,Travel & Lodging,Parking Fee
COLORADO DEMOCRATIC PARTY,Political Party Committee,181.09,1/9/25,Sam  Jarris,Parker,CO,80138,"Food, Beverages and Meals",Reimbursement For Food And Beverage
COMMITTEE FOR PHYSICIAN ANESTHESIA CARE,Political Committee,-450,1/9/25,Taggart For House District 55,Grand Junction,CO,81507,Returned Expenditure,Gave Over Allowed Amount
COMMITTEE FOR PHYSICIAN ANESTHESIA CARE,Political Committee,150,1/9/25,All Together Colorado,Denver,CO,80206,Contributions,
PUEBLO COUNTY EDUCATION ASSOCIATION SMALL DONOR COMMITTEE (PCEA SDC),Small Donor Committee,6,1/9/25,Wendy  Chandler,Rye,CO,81069,Other,Check # 1103 Emo Refund 2024-25
COLORADO CENTER PARTY CENTRAL COMMITTEE,Political Party Committee,95,1/10/25,Campaign Verify,Washington,DC,20007,Miscellaneous,
COLORADO CENTER PARTY CENTRAL COMMITTEE,Political Party Committee,1.07,1/10/25,Paypal Inc.,San Jose,CA,95131,Bank Fees,
COLORADO CREDIT UNION POLITICAL ACTION COMMITTEE,Political Committee,54.95,1/10/25,Forte Payment Systems,Allen,TX,75013,Bank Fees,
COLORADO DEMOCRATIC PARTY,Political Party Committee,101.26,1/10/25,Leven Deli Co.,Denver,CO,80204,"Food, Beverages and Meals",Food And Beverage For Meeting
COLORADO PETROLEUM PAC,Political Committee,-100,1/10/25,Building Bridges For Colorado,Redacted By Sos,CO,99999,Returned Expenditure,Check Was Never Cashed And Voided.
COLORADO REPUBLICAN LEADERSHIP FUND,Political Committee,400,1/10/25,"Strategic Compliance, Llc","Denver, Co",CO,80205,Consultant & Professional Services,
LIBERTARIAN PARTY OF COLORADO (LPCO),Political Party Committee,30.45,1/10/25,Fdms,Greenwood Village,CO,80111,Bank Fees,Service Fees
LIBERTY LEADERSHIP POLITICAL ACTION COMMITTEE,Political Committee,400,1/10/25,"Strategic Compliance, Llc",Denver,CO,80205,Consultant & Professional Services,
RURAL LEADERSHIP POLITICAL ACTION COMMITTEE,Political Committee,400,1/10/25,"Strategic Compliance, Llc",Denver,CO,80205,Consultant & Professional Services,
THE CIGNA GROUP EMPLOYEE POLITICAL ACTION COMMITTEE,Political Committee,2500,1/10/25,All Together Colorado,Denver,CO,80206,Contributions,2025 Contribution
THE RIGHT LEADERSHIP PAC,Political Committee,400,1/10/25,"Strategic Compliance, Llc",Denver,CO,80205,Consultant & Professional Services,
UNITED MINE WORKERS OF AMERICA,Political Committee,2500,1/10/25,,,,,Contributions,Contributions To Non Co Candidates
DEMOCRATIC PARTY CONGRESSIONAL DISTRICT 4 COLORADO,Political Party Committee,0.79,1/12/25,Actblue Technical Services,Somerville,MA,02144,Other,Cc Processing Fee
MONICA PAC,Political Committee,3.95,1/12/25,Actblue,West Somerville,MA,02144,Fundraising Expenses,
COLORADO DEMOCRATIC PARTY,Political Party Committee,34.91,1/13/25,Zoom,San Jose,CA,95113,Travel & Lodging,Web Conferencing Services
DOCTORS COMPANY COLORADO PAC (COLORADO DOCPAC),Political Committee,26.64,1/13/25,Wells Fargo Bank,Santa Rosa,CA,95401,Bank Fees,Monthly Bank Fee
FRIENDS OF COLORADO HOSPITALS (F/K/A HOSPITALS EXPRESS LEGISLATIVE PREFERENCE),Political Committee,85.12,1/13/25,,,,,Bank Fees,Jan Bank Fees
GRISWOLD LEADERSHIP PAC,Political Committee,2,1/13/25,,,,,Bank Fees,
LIBERTARIAN PARTY OF COLORADO (LPCO),Political Party Committee,49.95,1/13/25,Clover App,Sunnyvale,CA,94085,Bank Fees,Service Fees
MANNY RUTINEL LEADERSHIP FUND,Political Committee,25,1/13/25,Adams County Democratic Party (A.C.D.C.C),Westminster,CO,80031,Contributions,
THE COLEMAN LEADERSHIP FUND,Political Committee,3850,1/13/25,Denver Senate Caucus Fund,Denver,CO,80203,Contributions,
THE COLEMAN LEADERSHIP FUND,Political Committee,250,1/13/25,Denver Senate Caucus Fund,Denver,CO,80203,Other,Leadership Lunch
DEMOCRATIC PARTY CONGRESSIONAL DISTRICT 4 COLORADO,Political Party Committee,24.25,1/14/25,Intuit Quickbooks,Mountain View,CA,94043,Fundraising Expenses,Bookkeeping App
LUNDEEN LEADERSHIP FUND,Political Committee,153.52,1/14/25,Brown Palace,Denver,CO,80202,Other,6890 ∑ Other Meeting Expense
REPUBLIC SERVICES INC. EMPLOYEES FOR BETTER GOVERNMENT PAC,Political Committee,-400,1/14/25,Bird For Colorado,Redacted By Sos,CO,99999,Returned Expenditure,Check Voided: Original Issue Date 10/24/2024
COLORADO CENTER PARTY CENTRAL COMMITTEE,Political Party Committee,1.07,1/15/25,Paypal Inc.,San Jose,CA,95131,Bank Fees,
COLORADO CENTER PARTY CENTRAL COMMITTEE,Political Party Committee,1.07,1/15/25,Paypal Inc.,San Jose,CA,95131,Bank Fees,
COLORADO DEMOCRATIC PARTY,Political Party Committee,20,1/15/25,Squarespace Inc,New York,NY,10014,Office Equipment & Supplies,Software License
COLORADO DEMOCRATIC PARTY,Political Party Committee,10,1/15/25,The Action Network,New York,NY,10016,Office Equipment & Supplies,Subscription
COLORADO RADIOLOGICAL SOCIETY POLITICAL COMMITTEE,Political Committee,6,1/15/25,,,,,Bank Fees,
COMMITTEE FOR PHYSICIAN ANESTHESIA CARE,Political Committee,30,1/15/25,,,,,Bank Fees,
FIELDS FOR COLORADO LEADERSHIP FUND,Political Committee,25,1/15/25,Colorado Democratic Party,Denver,CO,80203,Contributions,
LIBERTARIAN PARTY OF COLORADO (LPCO),Political Party Committee,4.17,1/15/25,Stripe.Com,South San Francisco,CA,94080,Bank Fees,Credit Card Fees
UFCW LOCAL 7 POLITICAL COMMITTEE,Political Committee,1500,1/15/25,Ufcw Local 7,Wheat Ridge,CO,80033,Other,Internal Transfer Out Of Account To Fund New Account.
US ANESTHESIA PARTNERS COLORADO STATE COMMITTEE,Political Committee,66.57,1/15/25,Bok Financial,Denver,CO,80217,Bank Fees,Bank Fee
VELASCO LEADERSHIP FUND,Political Committee,4.22,1/15/25,Alpine Bank,Grand Junction,CO,81501,Bank Fees,Account Activity Fee
COLORADO DEMOCRATIC PARTY,Political Party Committee,2248.22,1/16/25,Michael S Merrifield,Arvada,CO,80005,Employee Services,Payroll
COLORADO DEMOCRATIC PARTY,Political Party Committee,1364.85,1/16/25,Paychex,Norristown,PA,19403,Employee Services,Payroll Taxes
COLORADO DEMOCRATIC PARTY,Political Party Committee,993.58,1/16/25,Paychex,Norristown,PA,19403,Employee Services,Payroll Taxes
COLORADO DEMOCRATIC PARTY,Political Party Committee,2775.2,1/16/25,Marykate  Wallace,Lafayette,CO,80026,Employee Services,Payroll
FREEPORT-MCMORAN COLORADO POLITICAL ACTION COMMITTEE,Political Committee,50,1/16/25,Colorado Secretary Of State,Denver,CO,80290,Miscellaneous,Late Fee Payment To Co Sos
LIBERTARIAN PARTY OF COLORADO (LPCO),Political Party Committee,144,1/16/25,Microsoft,Redmond,WA,98052,Office Equipment & Supplies,Ms 365
LIBERTARIAN PARTY OF COLORADO (LPCO),Political Party Committee,0.59,1/16/25,Stripe.Com,South San Francisco,CA,94080,Bank Fees,Credit Card Fees
MANNY RUTINEL LEADERSHIP FUND,Political Committee,147,1/16/25,Amazon,Seattle,WA,98109,Office Equipment & Supplies,Volunteer Supplies
ROSE PAC,Political Committee,800,1/16/25,House Republican Caucus,Washington,D.,20515,Travel & Lodging,
TAKE COLO BACK POLITICAL COMM,Political Committee,800,1/16/25,House Republican Caucus,Washington,D.,20515,Travel & Lodging,
THE COLEMAN LEADERSHIP FUND,Political Committee,2850,1/16/25,Kevin  Mohatt,Denver,CO,80204,Other,Staff Photos
BUILDING BRIDGES FOR COLORADO,Political Committee,2,1/17/25,1St Bank,Lakewood,CO,80215,Bank Fees,
CHRIS KOLKER LEADERSHIP FUND,Political Committee,450,1/17/25,Eliza C Hamrick,Centennial,CO,80016,Contributions,
CHRIS KOLKER LEADERSHIP FUND,Political Committee,600,1/17/25,Sweetland For Centennial,Centennial,CO,80161,Contributions,
CHRIS KOLKER LEADERSHIP FUND,Political Committee,-600,1/17/25,Sweetland For Centennial,Centennial,CO,80161,Contributions,Offset Due To Update Of Filed Item
CHRIS KOLKER LEADERSHIP FUND,Political Committee,600,1/17/25,Sweetland For Centennial,Centennial,CO,80161,Contributions,Candidate For Mayor Of Centennial Christine Sweetland
COLORADO DEMOCRATIC PARTY,Political Party Committee,1.25,1/17/25,Denver Public Parking,Aurora,CO,80019,Travel & Lodging,Parking Fee
COLORADO REPUBLICAN COMMITTEE,Political Party Committee,74.38,1/17/25,Letters Plus,Centennial,CO,80112,Advertising,Small Advertising Mailer
COLORADO REPUBLICAN COMMITTEE,Political Party Committee,91.16,1/17/25,Dtc Print Brokers,Centennial,CO,80112,Advertising,Print Advertising
HANSEN LEADERSHIP FUND,Political Committee,450,1/17/25,Matt Ball For Colorado,Denver,CO,80203,Contributions,
LET'S WIN,Political Committee,1000,1/17/25,"Strategic Compliance, Llc",Denver,CO,80205,Consultant & Professional Services,
LIBERTARIAN PARTY OF COLORADO (LPCO),Political Party Committee,0.6,1/17/25,Stripe.Com,South San Francisco,CA,94080,Bank Fees,Credit Card Fees
NABIP COLORADO POLITICAL ACTION COMMITTEE,Political Committee,0.91,1/17/25,Quickbooks Payments,Woodland Hills,CA,91367,Bank Fees,
RURAL LIBERTY POLITICAL ACTION COMMITTEE,Political Committee,400,1/17/25,Strategic Compliance Llc,Denver,CO,80205,Consultant & Professional Services,
ENERGY WORKERS OF COLORADO SDC,Small Donor Committee,2.3,1/18/25,Anedot,,CO,,Bank Fees,
DEMOCRATIC PARTY CONGRESSIONAL DISTRICT 4 COLORADO,Political Party Committee,4.94,1/19/25,Actblue Technical Services,Somerville,MA,02144,Other,Cc Processinf Fee
GREEN PARTY OF COLORADO,Political Party Committee,0.58,1/20/25,Paypal,San Jose,CA,95131,Bank Fees,
NABIP COLORADO POLITICAL ACTION COMMITTEE,Political Committee,7.38,1/20/25,Quickbooks Payments,Woodland Hills,CA,91367,Bank Fees,
ROCKY MOUNTAIN INSURANCE ASSOCIATION (RMIA) SDC,Small Donor Committee,1220.71,1/20/25,Biscuits And Berries Catering,Golden,CO,80401,"Food, Beverages and Meals",
COLORADO DEMOCRATIC PARTY,Political Party Committee,325.88,1/21/25,Denver Stockyard Saloon - The Yard Bar,Denver,CO,80216,"Food, Beverages and Meals",Food And Beverage For Staff Meeting
DEMOCRATIC PARTY CONGRESSIONAL DISTRICT 4 COLORADO,Political Party Committee,23.17,1/21/25,Godaddy.Com,Tempe,AZ,85284,Advertising,Admin Website
GREEN PARTY OF COLORADO,Political Party Committee,21.99,1/21/25,Godaddy Inc,Tempe,AZ,85281,Other,Web Hosting
LIBERTARIAN PARTY OF COLORADO (LPCO),Political Party Committee,67,1/21/25,Smart Space,Lakewood,CO,80215,Rent & Utilities,Storage Space
LIBERTARIAN PARTY OF COLORADO (LPCO),Political Party Committee,4.65,1/21/25,Stripe.Com,South San Francisco,CA,94080,Bank Fees,Credit Card Fees
LUNDEEN LEADERSHIP FUND,Political Committee,463.41,1/21/25,Capitol Grill,Denver,CO,80202,Other,6890 ∑ Other Meeting Expense
MCCLUSKIE FOR COLORADO LEADERSHIP FUND,Political Committee,306.96,1/21/25,Delta,Atlanta,GA,30354,Travel & Lodging,
YARA LEADERSHIP FUND,Political Committee,400,1/21/25,Stephanie Ross Coaching,St. Paul,MN,55114,Consultant & Professional Services,
