District,candidate_name,expenditure_amount,expenditure_date,recipient,city,state,zip,expenditure_type,explanation
House District 59,Naomi Riess,2000,10/17/25,Paul Eckenrode 360 Durango,Durango,CO,81301,Consultant & Professional Services,Campaign Consultant
House District 59,Naomi Riess,2000,10/21/25,Paul Eckenrode 360 Durango,Durango,CO,81301,Consultant & Professional Services,Campaign Consultant
House District 64,Maureen (Mo) Dower,2000,3/24/26,W2 Marketing Llc,Greeley,CO,80631,Consultant & Professional Services,
House District 04,Cecelia Espenoza,1980,10/20/25,Colorado Opportunity Caucus,Denver,CO,80202,Other,Colorado Opportunity Caucus Dues
House District 55,Rick Taggart,1950,1/30/25,Lauren  Pepin,Denver,CO,80230,Consultant & Professional Services,
House District 55,Rick Taggart,1950,2/28/25,Lauren  Pepin,Denver,CO,80230,Consultant & Professional Services,
House District 55,Rick Taggart,1950,3/28/25,Lauren  Pepin,Denver,CO,80230,Consultant & Professional Services,
House District 55,Rick Taggart,1950,12/30/24,Lauren  Pepin,Denver,CO,80230,Consultant & Professional Services,
House District 09,Neal Walia,1901,11/18/25,Taste Of India,Denver,CO,80224,"Food, Beverages and Meals",Food And Room Rental Expenses For Campaign Launch
House District 30,Rebekah Stewart,1875,10/7/25,Colorado Democratic Party,Denver,CO,80203,Other,Hmp
House District 57,Elizabeth Velasco,1875,12/31/25,Colorado Democratic Party,Denver,CO,80203,Miscellaneous,
House District 64,Maureen (Mo) Dower,1849.43,4/17/26,Lefthand Printworks,Berthoud,CO,80513,Advertising,Yard Signs/Flyers/Shirts
House District 57,Elizabeth Velasco,1800,10/1/25,Viet  Nguyen,Aurora,CO,80010,Consultant & Professional Services,Finance Director
House District 57,Elizabeth Velasco,1800,10/30/25,Viet  Nguyen,Aurora,CO,80010,Consultant & Professional Services,Financial Director
House District 57,Elizabeth Velasco,1800,12/18/25,Viet  Nguyen,Aurora,CO,80010,Consultant & Professional Services,Finance Director
House District 37,Chad Clifford,1600,7/2/25,Arapahoe County Democratic Party,Aurora,CO,80014,Miscellaneous,Event Tickets Pat Schroeder Dinner
House District 47,Ty Winter,1600,1/6/25,Colorado House Republican Caucus,Denver,CO,80203,Other,7218 ∑ Dues And Subscriptions
House District 36,Michael Carter,1560.48,4/30/25,Xcel Energy,Minneapolis,MN,55401,Rent & Utilities,Office Annual Energy Bill
House District 32,Chris VanDijk,1550,4/4/25,Run!,Brooklyn,NY,11201,Other,Web Site
House District 58,Larry Don Suckla,1545.78,5/20/24,Wizbang Solutions,Commerce City,CO,80022,Advertising,
House District 58,Larry Don Suckla,1545.78,5/20/24,Wizbang Solutions,Commerce City,CO,80022,Advertising,Signs Paid By Personal Credit Card Reimbursed Ck #96
House District 27,Danielle Varda,1530,12/2/25,Caitlin  Fitzpatrick,Denver,CO,80215,Consultant & Professional Services,Campaign Manager
House District 31,Gabriel Cervantes,1525,10/10/25,Mjh Strategies,Lakewood,CO,80227,Consultant & Professional Services,
House District 01,Javier Mabrey,1500,3/28/25,Colorado Women'S Hall Of Fame,Denver,CO,80111,Contributions,
House District 01,Javier Mabrey,1500,8/7/25,Dan  Cao,Berkeley,CA,94704,Consultant & Professional Services,
House District 13,Chris Floyd,1500,10/9/25,Practical Campaign Services,Centennial,CO,80122,Consultant & Professional Services,Strategic Consulting
House District 17,Regina English,1500,10/31/24,Eye Contact Media,Minneapolis,MN,55401,Advertising,Media Impressions For Campaign Video
House District 19,Anil Pesaramelli,1500,9/24/25,"Star Digital Media Solution, Llc.",Piscataway,NJ,08854,Consultant & Professional Services,
House District 26,Meghan Lukens,1500,12/6/24,Gusto,Denver,CO,80202,Employee Services,
House District 31,"Jacqueline ""Jacque"" Phillips",1500,10/9/25,Practical Campaign Services,Centennial,CO,80122,Consultant & Professional Services,Strategic Advisory
House District 31,"Jacqueline ""Jacque"" Phillips",1500,11/12/25,Practical Campaign Services,Centennial,CO,80122,Consultant & Professional Services,Strategic Advisory
House District 31,"Jacqueline ""Jacque"" Phillips",1500,12/10/25,Practical Campaign Services,Centennial,CO,80122,Consultant & Professional Services,Strategic Advisory
House District 31,"Jacqueline ""Jacque"" Phillips",1500,12/22/25,Joshua  Lee,Denver,CO,80237,Consultant & Professional Services,Campaign Management Services
House District 36,Michael Carter,1500,5/2/25,Vanessa  Reilly,Denver,CO,80203,Employee Services,Staff Expenses
House District 48,Carlos Barron,1500,8/29/25,"Sws Polifi, Llc",Fort Lupton,CO,80621,Other,7410 ∑ General Consultants
House District 48,Carlos Barron,1500,11/10/25,"Sws Polifi, Llc",Fort Lupton,CO,80621,Other,7590 ∑ Other Legal & Acctng Expense
House District 55,Rick Taggart,1500,5/30/25,Kylie  Graham,Denver,CO,80238,Consultant & Professional Services,
House District 55,Rick Taggart,1500,6/30/25,Kylie  Graham,Denver,CO,80238,Consultant & Professional Services,
House District 55,Rick Taggart,1500,7/30/25,Kylie  Graham,Denver,CO,80238,Consultant & Professional Services,
House District 55,Rick Taggart,1500,8/30/25,Kylie  Graham,Denver,CO,80238,Consultant & Professional Services,
House District 55,Rick Taggart,1500,9/30/25,Kylie  Graham,Denver,CO,80238,Consultant & Professional Services,
House District 55,Rick Taggart,1500,10/30/25,Kylie  Graham,Denver,CO,80238,Consultant & Professional Services,
House District 55,Rick Taggart,1500,11/28/25,Kylie  Graham,Denver,CO,80238,Consultant & Professional Services,
House District 55,Rick Taggart,1500,12/30/25,Kylie  Graham,Denver,CO,80238,Consultant & Professional Services,
House District 56,Chris Richardson,1500,1/22/25,Colorado House Gop Caucus,Denver,CO,80203,Other,House Gop Caucus Dues
House District 57,Elizabeth Velasco,1500,12/8/25,Viet  Nguyen,Aurora,CO,80010,Consultant & Professional Services,Finance  Director
House District 16,Steph Vigil,1446.85,6/19/25,El Chapin,Colorado Springs,CO,80909,"Food, Beverages and Meals",Event Catering
House District 08,Lindsay Gilchrist,1416,12/8/25,Minted Llc,San Francisco,CA,94111,Advertising,
House District 65,Lori Garcia Sander,1380,12/9/25,Mccarty'S,Eaton,CO,80615,Other,5140 ∑ Event Food & Beverage
House District 56,Chris Richardson,1372.8,5/30/25,The I70 Scout,Strasburg,CO,80136,Advertising,Quarter Page Advertisements-I70 Scout
House District 26,Meghan Lukens,1350,12/6/24,Gusto,Denver,CO,80202,Employee Services,
House District 41,Jamie Jackson,1350,10/15/25,"Upstream, Llc",Wheat Ridge,CO,80033,Consultant & Professional Services,
House District 44,Bob Davis,1350,4/25/26,Sky Flight Media,Denver,CO,80222,Consultant & Professional Services,Professional Video Services
House District 36,Michael Carter,1348,5/13/25,Murphy Creek,Aurora,CO,80017,Rent & Utilities,Greens Fees
House District 10,Junie Joseph,1341.62,5/21/24,Prairie Mountain Media,Boulder,CO,80303,Advertising,Ads In The Daily Camera- Paid By The Candidate And Sought Reimbursement.
House District 59,Katie Stewart,1326.71,12/6/24,Red Peak Properties,Denver,CO,80203,Rent & Utilities,
House District 29,Lori Goldstein,1325,6/12/25,Signrocket,St Paul Park,MN,55071,Advertising,Signs
House District 01,Javier Mabrey,1300,9/18/25,Com Nha Kitchen & Bar,Denver,CO,80227,"Food, Beverages and Meals",
House District 20,Jarvis Caldwell,1300,1/15/25,House Republican Caucus,Denver,CO,80203,Other,Caucus Dues.
House District 48,Carlos Barron,1300,1/3/25,House Republican Caucus,Denver,CO,80203,Other,7218 ∑ Dues And Subscriptions
House District 50,Ryan Gonzalez,1300,1/13/25,Colorado House Republicans,Denver,CO,80203,Other,7218 ∑ Dues And Subscriptions
House District 55,Rick Taggart,1300,1/13/25,House Republican Caucus,Denver,CO,80203,Contributions,
House District 65,Lori Garcia Sander,1300,1/2/25,House Republican Caucus,Denver,CO,80203,Other,7218 ∑ Dues And Subscriptions
House District 19,Anil Pesaramelli,1258.53,12/17/25,Getthru,Beaverton,OR,97008,Advertising,Text Messaging
House District 59,Naomi Riess,1257.1,12/31/25,Naomi E Riess,Durango,CO,81303,Travel & Lodging,"Cumulative Mileage For Campaign Related Mileage Total 10-01-25 Thru 12-31-25. Mileage Logs All Filed And Available In Tracer Documents. 1,995.4 Miles @ $0.63 Per Mile For $1,257.10. Candidate Paid - See Corresponding Loan"
House District 03,Gena Ozols,1250,8/8/25,Eris Consulting,Englewood,CO,80110,Consultant & Professional Services,Campaign And Financial Planning Work
House District 17,Regina English,1250,11/12/24,Lamonica  Adams,Redacted By Sos,CO,99999,Employee Services,"October1-November 5, 2024, Campaign Door Knocking And Phone Banking.
Check # 1149"
House District 52,Yara Zokaie,1249.8,11/7/24,Scale To Win,Santa Ana,CA,92703,Advertising,
House District 59,Katie Stewart,1223.55,1/8/25,Red Peak Properties,Denver,CO,80203,Rent & Utilities,
House District 31,"Jacqueline ""Jacque"" Phillips",1220,12/10/25,Usps,Broomfield,CO,80021,Advertising,Campaign Literature Mailer In Support Of Jacque Phillips For Colorado State House District 31. In Excess Of 30 Days From A Primary Or General Election.
House District 54,Jason Bias,1200.69,4/8/26,Envision Signs,Grand Junction,CO,81501,Advertising,Large Signs
House District 07,Jennifer Bacon,1200,3/14/25,Quintavis  Styles,Denver,CO,80203,Consultant & Professional Services,
House District 19,Dan Woog,1200,1/8/25,House Republican Caucus,Denv Er,CO,80202,Other,7218 ∑ Dues And Subscriptions
House District 48,Carlos Barron,1200,12/19/25,House Republican Caucus,Denver,CO,80203,Other,7218 ∑ Dues And Subscriptions
House District 50,Ryan Gonzalez,1200,2/23/26,Colorado House Republicans,Denver,CO,80203,Other,7218 ∑ Dues And Subscriptions
House District 55,Rick Taggart,1200,12/16/24,Strategic Compliance,Denver,CO,80205,Consultant & Professional Services,
House District 57,Elizabeth Velasco,1200,12/13/24,Sophia Diamond Llc,Glenwood Springs,CO,81601,Consultant & Professional Services,Consultant
House District 55,Rick Taggart,1191.38,10/4/25,John M Taggart,Grand Junction,CO,81507,Travel & Lodging,Travel Reimbusrement
House District 10,Junie Joseph,1190.61,12/31/24,Artist Proof Collective,Denver,CO,80204,Other,Postcards Sent To Constituents And Other Democrats
House District 26,Meghan Lukens,1178.95,12/6/24,Gusto,Denver,CO,80202,Employee Services,
House District 31,"Jacqueline ""Jacque"" Phillips",1150,6/17/25,Adams County Democratic Party (A.C.D.C.C),Westminster,CO,80031,"Food, Beverages and Meals",Jfk Dinner
House District 17,Regina English,1120,10/24/24,United States Postal Service,Colorado Springs,CO,80903,Office Equipment & Supplies,Postage For Donation Letters And Postcards
House District 22,Ken deGraaf,1100,10/5/24,House Republican Caucus,Denver,CO,80203,Contributions,
House District 39,Brandi Bradley,1100,1/8/25,House Republican Caucus,Denver,CO,80203,Other,7218 ∑ Dues And Subscriptions
House District 63,Dusty Johnson,1100,1/7/25,House Republican Caucus,Denver,CO,80203,Other,7218 ∑ Dues And Subscriptions
House District 22,Ken deGraaf,1090,4/13/24,Amber  Rowley,Adel,IO,50003,Fundraising Expenses,
House District 23,Alexis Hoffkling,1059,11/24/25,Alexis P Hoffkling,Wheat Ridge,CO,80214,Advertising,Part 2 Reimbursement For Payment To Bright Star Strategies For Video Work; Part 1 Was On 11/19/2025.
House District 46,Jonathan Post,1050,10/26/25,"Sws Polifi, Llc",Lafayette,CO,80026,Other,7540 ∑ List Management Fees
House District 26,Meghan Lukens,1048.9,12/6/24,Gusto,Denver,CO,80202,Employee Services,
House District 50,Ryan Gonzalez,1047,1/15/26,"Sws Polifi, Llc",Fort Lupton,CO,80621,Other,7520 ∑ Accounting Fees
House District 17,Regina English,1038,10/24/24,Downtown Copy Experts,Colorado Springs,CO,80903,Advertising,Marketing
House District 19,Jillaire McMillan,1029.18,8/15/25,Plumb Marketing,Englewood,CO,80110,Advertising,
House District 12,Kyle Brown,1026.58,3/31/25,Tru Community Care,Lafayette,CO,80026,Other,Donation
House District 50,Ryan Gonzalez,1023.62,10/3/25,Marquis Who'S Who,Uniondale,NY,11556,Other,6590 ∑ Other Research Expense
House District 62,Matthew Martinez,1020,12/18/25,Colorado Opportunity Caucus,Denver,CO,80202,Other,Opportunity Caucus Dues
House District 37,Chad Clifford,1008,11/13/25,Jennifer  Strobel,Arvada,CO,80003,Employee Services,
House District 01,Javier Mabrey,1000,6/23/25,Karen  Valenzuela,Denver,CO,80222,Consultant & Professional Services,
House District 01,Javier Mabrey,1000,8/7/25,Colorado Democratic Party Political Committee,Denver,CO,80203,Contributions,
House District 05,Justine Sandoval,1000,11/1/25,Eris Consulting,Englewood,CO,80110,Consultant & Professional Services,Eris Consulting- Campaign Plan
House District 06,Sean Camacho,1000,10/4/25,Colorado Opportunity Caucus,Denver,CO,80202,Other,Membership Dues
House District 08,Lindsay Gilchrist,1000,5/28/25,Colorado Democratic Party,Denver,CO,80203,Entertainment,
House District 09,Monica VanBuskirk,1000,11/6/25,Proud Empowerment Business Solutions,Ft Lauderdale,FL,33304,Advertising,Check Written On 11/6 And Cleared On 1/6/2026
House District 11,Karen McCormick,1000,10/3/25,Opportunity Caucus,Denver,CO,80202,Other,Caucus Membership Dues
House District 17,Regina English,1000,11/1/24,Tionna R Moss,Redacted By Sos,CO,99999,Employee Services,Campaign Phone Banking October 1-31St
House District 17,Regina English,1000,11/12/24,Sean  Hale,Redacted By Sos,CO,99999,Employee Services,October 1-30Th Campaign Work. Calling And Knocking On Doors.
House District 24,Lisa Feret,1000,4/28/25,Colorado Democratic Party,Denver,CO,80203,Miscellaneous,
House District 24,Lisa Feret,1000,5/19/25,Alexa  Villasense,Denver,CO,80239,Employee Services,
House District 24,Lisa Feret,1000,5/30/25,Skyelar  Joos,Highlands Ranch,CO,80128,Employee Services,
House District 24,Lisa Feret,1000,6/18/25,Mckenna  Lipson,Fort Collins,CO,80525,Employee Services,
House District 30,Rebekah Stewart,1000,12/8/25,The Buffalo Firm Llc,Denver,CO,80203,Consultant & Professional Services,Campaign Consulting
House District 31,"Jacqueline ""Jacque"" Phillips",1000,10/20/25,Colorado Opportunity Caucus,Denver,CO,80202,Contributions,Caucus Membership Dues
House District 36,Michael Carter,1000,6/16/25,Michael  Carter,Aurora,CO,80018,Travel & Lodging,Reimbursement For Travel
House District 41,Jamie Jackson,1000,12/31/25,Colorado House Democrats Petty Cash Fund,Denver,CO,80204,Other,Caucus Dues
House District 46,Jonathan Post,1000,7/22/25,India  Hargett,Fort Lupton,CO,80621,Other,6410 ∑ Registration & Hosting
House District 48,Carlos Barron,1000,3/25/26,"Sws Polifi, Llc",Fort Lupton,CO,80621,Other,7520 ∑ Accounting Fees
House District 52,Yara Zokaie,1000,12/5/24,"Michael Stolz, Consultant",Fort Collins,CO,80526,Consultant & Professional Services,
House District 54,Nina Anderson,1000,3/21/25,Colorado Local Politics,Grand Junction,CO,81507,Office Equipment & Supplies,
House District 57,Elizabeth Velasco,1000,1/21/25,Sophia Diamond Llc,Glenwood Springs,CO,81601,Consultant & Professional Services,Consultant
House District 57,Elizabeth Velasco,1000,1/21/25,Isabela  Martinez,Denver,CO,80238,Consultant & Professional Services,Consultant
House District 57,Elizabeth Velasco,1000,2/5/25,Isabela  Martinez,Denver,CO,80238,Consultant & Professional Services,Consultant
House District 57,Elizabeth Velasco,1000,2/11/25,Sophia Diamond Llc,Glenwood Springs,CO,81601,Consultant & Professional Services,Consultant
House District 57,Elizabeth Velasco,1000,3/1/25,Sophia D Clark,Glenwood Springs,CO,81601,Consultant & Professional Services,Professional Services
House District 57,Elizabeth Velasco,1000,3/11/25,Isabela  Martinez,Denver,CO,80238,Consultant & Professional Services,Consultant
House District 57,Elizabeth Velasco,1000,4/1/25,Sophia D Clark,Glenwood Springs,CO,81601,Consultant & Professional Services,Professional Services
House District 57,Elizabeth Velasco,1000,4/11/25,Isabela  Martinez,Denver,CO,80238,Consultant & Professional Services,Professional Services
House District 57,Elizabeth Velasco,1000,5/9/25,Isabela  Martinez,Denver,CO,80238,Consultant & Professional Services,Professional Services
House District 57,Elizabeth Velasco,1000,9/2/25,Viet  Nguyen,Aurora,CO,80010,Consultant & Professional Services,Fundraising Services
House District 57,Elizabeth Velasco,1000,11/6/25,Amy  Tran,Grand Prairie,TE,75052,Consultant & Professional Services,Graphic Design
House District 60,Michelle Gray,1000,2/25/26,Salem Media Group,Denver,CO,80123,Other,6121 ∑ Time Buys
House District 62,Matthew Martinez,1000,7/11/25,Courtney  Hocking,Englewood,CO,80113,Consultant & Professional Services,
House District 64,Scott L. Slaugh,1000,7/22/25,India  Hargett,Fort Lupton,CO,80621,Other,6410 ∑ Registration & Hosting
House District 47,Ty Winter,996.2,8/5/25,F&C Sawaya Wholesale,Trinidad,CO,81082,Other,5190 ∑ Other Event Expense
House District 30,Rebekah Stewart,980,10/3/25,Colorado Opportunity Caucus,Denver,CO,80202,Other,Membership Dues
House District 46,Tisha Mauro,980,12/31/25,Colorado Opportunity Caucus,Denver,CO,80202,Other,Membership Dues
House District 59,Katie Stewart,980,11/19/25,Opportunity Caucus,Arvada,CO,80002,Other,Caucus Dues
House District 35,Lorena Garcia,978.12,12/31/24,Haley  Lindholm,Denver,CO,80227,Consultant & Professional Services,
House District 41,Jamie Jackson,975,12/10/25,Congressional Black Caucus Foundation,Washington,DC,20005,Other,Congressional Black Caucus
House District 58,Larry Don Suckla,971.36,10/15/24,Townsquare Media,Montrose,CO,81401,Advertising,Actual Exp. 1071.00 Paid By Personal Cc
House District 24,Lisa Feret,970.85,12/9/24,Apple,Cupertino,CA,95014,Office Equipment & Supplies,
House District 04,Cecelia Espenoza,968.6,12/1/25,Zenpayroll Inc (Dba Gusto),San Francisco,CA,94107,Employee Services,
House District 04,Cecelia Espenoza,964.6,10/30/25,Zenpayroll Inc (Dba Gusto),San Francisco,CA,94107,Employee Services,
House District 47,Ty Winter,913.1,7/23/25,F&C Sawaya Wholesale,Trinidad,CO,81082,Other,5190 ∑ Other Event Expense
House District 22,Ken deGraaf,900,1/23/23,House Republican Caucus,Denver,CO,80203,Contributions,
House District 59,Naomi Riess,900,10/8/25,La Plata County Republican Central Committee (Lpcrcc),Durango,CO,81303,Fundraising Expenses,Table At Lincoln Day Dinner
House District 57,Elizabeth Velasco,883,1/13/25,Zoom Video Communications Inc,San Jose,CA,95113,Consultant & Professional Services,Zoom Account
House District 54,Jason Bias,878.69,2/23/26,Amazon,Seattle,WA,98108,Advertising,Yard Signs
House District 17,Regina English,875,11/7/25,National Caucus Of Black State Legislators,Washinton,DC,20001,Consultant & Professional Services,"Leadership, Training And Continuing Education Conference"
House District 43,Nate Marsh,872.94,12/15/25,Coast To Coast Culinary,Castle Rock,CO,80109,Other,5140 ∑ Event Food & Beverage
House District 32,Chris VanDijk,872.4,5/16/25,Corazon Printing,Broomfield,CO,80020,Advertising,
House District 33,Heidi Henkel,866.08,10/14/25,Alex  Austin,Broomfield,CO,80023,Consultant & Professional Services,
House District 24,Lisa Feret,844,12/24/24,Amazon,Seattle,WA,98109,Office Equipment & Supplies,
House District 19,Jillaire McMillan,833.45,9/8/25,Plumb Marketing,Englewood,CO,80110,Fundraising Expenses,
House District 19,Dan Woog,825,6/20/25,American Legislative Council,Arlington,VA,22202,Other,6810 ∑ Registration Fees
House District 49,Lesley Smith,823.1,2/23/25,Mary Beth  Gentry,Denver,CO,80223,Consultant & Professional Services,Legislative Aide Pay
House District 52,Yara Zokaie,819.22,10/30/24,Scale To Win,Santa Ana,CA,92703,Advertising,
