District,candidate_name,Party,expenditure_amount,expenditure_date,recipient,city,state,zip,expenditure_type,explanation
Senate District 01,Byron Pelton,Republican,48.16,8/25/25,Qt 4216,Bennett,CO,80102,Other,7652 ∑ Vehicle Gas
Senate District 01,Byron Pelton,Republican,14.64,8/27/25,In & Out Burger,Brighton,CO,80601,Other,7640 ∑ Meals
Senate District 01,Byron Pelton,Republican,518.07,9/2/25,University Club,Denver,CO,80203,Other,7640 ∑ Meals
Senate District 01,Byron Pelton,Republican,43.28,9/8/25,Love'S Travel,Brush,CO,80723,Other,7652 ∑ Vehicle Gas
Senate District 01,Byron Pelton,Republican,11.01,9/8/25,Mcdonalds,Silverthorne,CO,80498,Other,7640 ∑ Meals
Senate District 01,Byron Pelton,Republican,56.2,9/10/25,Anedot,New Orleans,LA,70112,Other,7820 ∑ Merchant Account Fees
Senate District 01,Byron Pelton,Republican,6.6,9/15/25,Anedot,New Orleans,LA,70112,Other,7820 ∑ Merchant Account Fees
Senate District 01,Byron Pelton,Republican,6.58,9/15/25,Pilot Travel,Hudson,CO,80642,Other,7652 ∑ Vehicle Gas
Senate District 01,Byron Pelton,Republican,34.9,9/16/25,Anedot,New Orleans,LA,70112,Other,7820 ∑ Merchant Account Fees
Senate District 01,Byron Pelton,Republican,18.3,9/17/25,Anedot,New Orleans,LA,70112,Other,7820 ∑ Merchant Account Fees
Senate District 01,Byron Pelton,Republican,8.37,9/17/25,Starbucks,Sterling,CO,80751,Other,7640 ∑ Meals
Senate District 01,Byron Pelton,Republican,94.78,9/22/25,Casa Dona  Casa Dona,Eaton,CO,80615,Other,6890 ∑ Other Meeting Expense
Senate District 01,Byron Pelton,Republican,49.87,9/22/25,Love'S Travel,Brush,CO,80723,Other,7652 ∑ Vehicle Gas
Senate District 01,Byron Pelton,Republican,21.1,9/22/25,Pilot Travel,Hudson,CO,80642,Other,7652 ∑ Vehicle Gas
Senate District 01,Byron Pelton,Republican,14.18,9/23/25,Pi Kappas Cino Coffee,Sterling,CO,80751,Other,6890 ∑ Other Meeting Expense
Senate District 01,Byron Pelton,Republican,30.15,9/23/25,Pilot Travel,Hudson,CO,80642,Other,7652 ∑ Vehicle Gas
Senate District 01,Byron Pelton,Republican,19.06,9/23/25,,,,,Office Equipment & Supplies,Office Supplies
Senate District 01,Byron Pelton,Republican,38.95,9/25/25,Fashion And Rations,Strerling,CO,80751,Other,7640 ∑ Meals
Senate District 01,Byron Pelton,Republican,14.18,9/25/25,Pi Kappas Cino Coffee,Sterling,CO,80751,Other,6890 ∑ Other Meeting Expense
Senate District 01,Byron Pelton,Republican,70.35,9/26/25,Gasamat,Sterling,CO,80751,Other,7652 ∑ Vehicle Gas
Senate District 01,Byron Pelton,Republican,68.11,9/26/25,Taco Bell,Fort Morgan,CO,80731,Other,7640 ∑ Meals
Senate District 01,Byron Pelton,Republican,31.41,9/29/25,Gasamat,Sterling,CO,80751,Other,7652 ∑ Vehicle Gas
Senate District 01,Byron Pelton,Republican,52.27,10/7/24,Love'S Travel,Brush,CO,80723,Other,7652 ∑ Vehicle Gas
Senate District 01,Byron Pelton,Republican,46.09,10/7/24,Sam'S Club,Evans,CO,80620,Other,5140 ∑ Event Food & Beverage
Senate District 01,Byron Pelton,Republican,74.51,10/8/24,Gasamat,Sterling,CO,80751,Other,7652 ∑ Vehicle Gas
Senate District 01,Byron Pelton,Republican,53.33,10/9/24,Love'S Travel,Brush,CO,80723,Other,7652 ∑ Vehicle Gas
Senate District 01,Byron Pelton,Republican,44.44,10/15/24,Love'S Travel,Brush,CO,80723,Other,7652 ∑ Vehicle Gas
Senate District 01,Byron Pelton,Republican,41.61,10/16/24,Gasamat,Sterling,CO,80751,Other,7652 ∑ Vehicle Gas
Senate District 01,Byron Pelton,Republican,17.61,10/16/24,Love'S Travel,Brush,CO,80723,Other,7652 ∑ Vehicle Gas
Senate District 01,Byron Pelton,Republican,25.34,10/17/24,Gasamat,Sterling,CO,80751,Other,7652 ∑ Vehicle Gas
Senate District 01,Byron Pelton,Republican,19.25,10/17/24,,,,,Other,7657 ∑ Vehicle Tolls And Parking
Senate District 01,Byron Pelton,Republican,61.11,10/21/24,Sam'S Club,Evans,CO,80620,Other,5140 ∑ Event Food & Beverage
Senate District 01,Byron Pelton,Republican,89.11,10/22/24,Gasamat,Sterling,CO,80751,Other,7652 ∑ Vehicle Gas
Senate District 01,Byron Pelton,Republican,69.43,10/22/24,Maverik,Fort Morgan,CO,80701,Other,7652 ∑ Vehicle Gas
Senate District 01,Byron Pelton,Republican,12.9,10/23/24,Mcdonalds,Silverthorne,CO,80498,Other,7640 ∑ Meals
Senate District 01,Byron Pelton,Republican,8.3,10/28/24,Anedot,New Orleans,LA,70112,Other,7820 ∑ Merchant Account Fees
Senate District 01,Byron Pelton,Republican,83.51,10/28/24,Gasamat,Sterling,CO,80751,Other,7652 ∑ Vehicle Gas
Senate District 01,Byron Pelton,Republican,4,10/28/24,,,,,Other,7657 ∑ Vehicle Tolls And Parking
Senate District 01,Byron Pelton,Republican,101.33,10/30/24,74 Xpress,Severance,CO,80550,Other,7652 ∑ Vehicle Gas
Senate District 01,Byron Pelton,Republican,31.17,10/30/24,Doordash,San Fraancisco,CA,94107,Other,7640 ∑ Meals
Senate District 01,Byron Pelton,Republican,13.62,10/30/24,,,,,Other,7640 ∑ Meals
Senate District 01,Byron Pelton,Republican,42.32,11/4/24,Gasamat,Sterling,CO,80751,Other,7652 ∑ Vehicle Gas
Senate District 01,Byron Pelton,Republican,139.6,11/4/24,Olive Garden,Gtreeley,CO,80631,Other,6890 ∑ Other Meeting Expense
Senate District 01,Byron Pelton,Republican,31.67,11/6/24,Love'S Travel,Brush,CO,80723,Other,7652 ∑ Vehicle Gas
Senate District 01,Byron Pelton,Republican,97.27,11/7/24,Love'S Travel,Brush,CO,80723,Other,7652 ∑ Vehicle Gas
Senate District 01,Byron Pelton,Republican,80.31,11/12/24,Love'S Travel,Brush,CO,80723,Other,7652 ∑ Vehicle Gas
Senate District 01,Byron Pelton,Republican,63.63,11/13/24,Maverik,Fort Morgan,CO,80701,Other,7652 ∑ Vehicle Gas
Senate District 01,Byron Pelton,Republican,52.23,11/14/24,Doordash,San Fraancisco,CA,94107,Other,7640 ∑ Meals
Senate District 01,Byron Pelton,Republican,99.95,11/15/24,Texas Roadhouse,Denver,CO,80238,Other,7640 ∑ Meals
Senate District 01,Byron Pelton,Republican,86.37,11/20/24,Gasamat,Sterling,CO,80751,Other,7652 ∑ Vehicle Gas
Senate District 01,Byron Pelton,Republican,88.42,11/25/24,Gasamat,Sterling,CO,80751,Other,7652 ∑ Vehicle Gas
Senate District 01,Byron Pelton,Republican,10,11/25/24,,,,,Other,7657 ∑ Vehicle Tolls And Parking
Senate District 01,Byron Pelton,Republican,18.49,11/27/24,Gasamat,Sterling,CO,80751,Other,7652 ∑ Vehicle Gas
Senate District 01,Byron Pelton,Republican,59.51,12/2/24,Maverik,Fort Morgan,CO,80701,Other,7652 ∑ Vehicle Gas
Senate District 01,Byron Pelton,Republican,40,12/3/24,Luca,Denver,CO,80203,Other,6890 ∑ Other Meeting Expense
Senate District 01,Byron Pelton,Republican,34.84,12/6/24,Biaggis,Colorado Springs,CO,80920,Other,6890 ∑ Other Meeting Expense
Senate District 01,Byron Pelton,Republican,68.35,12/9/24,Qt 4216,Bennett,CO,80102,Other,7652 ∑ Vehicle Gas
Senate District 01,Byron Pelton,Republican,53.19,12/12/24,Maverik,Fort Morgan,CO,80701,Other,7652 ∑ Vehicle Gas
Senate District 01,Byron Pelton,Republican,66.15,12/16/24,Maverik,Fort Morgan,CO,80701,Other,7652 ∑ Vehicle Gas
Senate District 01,Byron Pelton,Republican,69.25,12/17/24,Qt 4216,Bennett,CO,80102,Other,7652 ∑ Vehicle Gas
Senate District 01,Byron Pelton,Republican,9.12,12/18/24,Mcdonalds,Silverthorne,CO,80498,Other,7640 ∑ Meals
Senate District 01,Byron Pelton,Republican,39.17,10/1/25,Gasamat,Sterling,CO,80751,Other,7652 ∑ Vehicle Gas
Senate District 01,Byron Pelton,Republican,40.85,10/6/25,Gasamat,Sterling,CO,80751,Other,7652 ∑ Vehicle Gas
Senate District 01,Byron Pelton,Republican,44.75,10/8/25,Gasamat,Sterling,CO,80751,Other,7652 ∑ Vehicle Gas
Senate District 01,Byron Pelton,Republican,35.59,10/14/25,Love'S Travel,Brush,CO,80723,Other,7652 ∑ Vehicle Gas
Senate District 01,Byron Pelton,Republican,42.44,10/14/25,Maverik,Fort Morgan,CO,80701,Other,7652 ∑ Vehicle Gas
Senate District 01,Byron Pelton,Republican,11.41,10/14/25,Maverik,Fort Morgan,CO,80701,Other,7652 ∑ Vehicle Gas
Senate District 01,Byron Pelton,Republican,15.07,10/14/25,Starbucks,Sterling,CO,80751,Other,7640 ∑ Meals
Senate District 01,Byron Pelton,Republican,26.62,10/15/25,Pilot Travel,Hudson,CO,80642,Other,7652 ∑ Vehicle Gas
Senate District 01,Byron Pelton,Republican,38.02,10/16/25,Pilot Travel,Hudson,CO,80642,Other,7652 ∑ Vehicle Gas
Senate District 01,Byron Pelton,Republican,9.71,10/17/25,,,,,Other,7640 ∑ Meals
Senate District 01,Byron Pelton,Republican,36.35,10/20/25,Maverik,Fort Morgan,CO,80701,Other,7652 ∑ Vehicle Gas
Senate District 01,Byron Pelton,Republican,12.84,10/21/25,,,,,Other,7640 ∑ Meals
Senate District 01,Byron Pelton,Republican,27.72,10/24/25,Circle K,Greeley,CO,80634,Other,7652 ∑ Vehicle Gas
Senate District 01,Byron Pelton,Republican,29.89,10/24/25,Love'S Travel,Brush,CO,80723,Other,7652 ∑ Vehicle Gas
Senate District 01,Byron Pelton,Republican,10.3,10/27/25,Anedot,New Orleans,LA,70112,Other,7820 ∑ Merchant Account Fees
Senate District 01,Byron Pelton,Republican,16.23,10/27/25,Ben'S Brick Oven,Hudson,CO,80642,Other,7640 ∑ Meals
Senate District 01,Byron Pelton,Republican,14.29,10/30/25,Arbys,Greeley,CO,80634,Other,7640 ∑ Meals
Senate District 01,Byron Pelton,Republican,34.61,10/30/25,Circle K,Greeley,CO,80634,Other,7652 ∑ Vehicle Gas
Senate District 01,Byron Pelton,Republican,38.96,10/30/25,Gasamat,Sterling,CO,80751,Other,7652 ∑ Vehicle Gas
Senate District 01,Byron Pelton,Republican,28.8,10/30/25,Jd'S Quick Stop,Akron,CO,80720,Other,7652 ∑ Vehicle Gas
Senate District 01,Byron Pelton,Republican,12.84,10/30/25,,,,,Other,7640 ∑ Meals
Senate District 01,Byron Pelton,Republican,77.95,11/3/25,Gasamat,Sterling,CO,80751,Other,7652 ∑ Vehicle Gas
Senate District 01,Byron Pelton,Republican,9.21,11/4/25,Mcdonalds,Silverthorne,CO,80498,Other,7640 ∑ Meals
Senate District 01,Byron Pelton,Republican,9.83,11/6/25,Mcdonalds,Silverthorne,CO,80498,Other,7640 ∑ Meals
Senate District 01,Byron Pelton,Republican,500.59,11/13/25,E-470 Express,Aurora,CO,80018,Other,7657 ∑ Vehicle Tolls And Parking
Senate District 01,Byron Pelton,Republican,13.14,11/13/25,Mcdonalds,Silverthorne,CO,80498,Other,7640 ∑ Meals
Senate District 01,Byron Pelton,Republican,148.16,11/14/25,Embassy Suites,Denver,CO,80239,Other,7630 ∑ Lodging
Senate District 01,Byron Pelton,Republican,63.42,11/17/25,Pilot Travel,Hudson,CO,80642,Other,7652 ∑ Vehicle Gas
Senate District 01,Byron Pelton,Republican,7.9,11/18/25,Mcdonalds,Silverthorne,CO,80498,Other,7640 ∑ Meals
Senate District 01,Byron Pelton,Republican,75.06,11/20/25,Pilot Travel,Hudson,CO,80642,Other,7652 ∑ Vehicle Gas
Senate District 01,Byron Pelton,Republican,48.41,11/21/25,Las Delicias,Denver,CO,80203,Other,7640 ∑ Meals
Senate District 01,Byron Pelton,Republican,14.18,11/21/25,,,,,Other,7640 ∑ Meals
Senate District 01,Byron Pelton,Republican,56.52,12/9/25,11-Jul,Keenesburg,CO,80643,Other,7652 ∑ Vehicle Gas
Senate District 01,Byron Pelton,Republican,65.01,12/9/25,Gasamat,Sterling,CO,80751,Other,7652 ∑ Vehicle Gas
Senate District 01,Byron Pelton,Republican,8.25,12/9/25,,,,,Other,6890 ∑ Other Meeting Expense
Senate District 01,Byron Pelton,Republican,1447,12/15/25,El Al Airlines,Denver,CO,80111,Other,7610 ∑ Air/Bus/Train Travel
Senate District 01,Byron Pelton,Republican,500,12/15/25,Pera Parking,Denver,CO,80203,Other,7229 ∑ Parking Expense
Senate District 01,Byron Pelton,Republican,740,12/15/25,Senate Republican Caucus,Denver,CO,80203,Other,7218 ∑ Dues And Subscriptions
Senate District 01,Byron Pelton,Republican,440.87,12/15/25,"Sws Polifi, Llc",Fort Lupton,CO,80621,Other,7520 ∑ Accounting Fees
Senate District 01,Byron Pelton,Republican,66.53,12/18/25,11-Jul,Keenesburg,CO,80643,Other,7652 ∑ Vehicle Gas
Senate District 01,Byron Pelton,Republican,9.09,12/18/25,Mcdonalds,Silverthorne,CO,80498,Other,7640 ∑ Meals
Senate District 01,Byron Pelton,Republican,14.18,12/19/25,Pi Kappas Cino Coffee,Sterling,CO,80751,Other,6890 ∑ Other Meeting Expense
Senate District 01,Byron Pelton,Republican,200,1/11/23,Prairie Mountain Media,Boulder,CO,80301,Advertising,
Senate District 01,Byron Pelton,Republican,92.87,1/18/23,Love'S Travel,Brush,CO,80723,Travel & Lodging,
Senate District 01,Byron Pelton,Republican,500,1/23/23,National Western Stock Show,Denver,CO,80216,Gifts,
Senate District 01,Byron Pelton,Republican,104.98,1/25/23,Love'S Travel,Brush,CO,80723,Travel & Lodging,
Senate District 01,Byron Pelton,Republican,74,1/30/23,River Station,Sterling,CO,80751,Travel & Lodging,
