Office,candidate_name,Party,expenditure_amount,expenditure_date,recipient,city,state,zip,expenditure_type,explanation
Governor,Michael Bennet,Democratic,13028.47,6/27/25,Gusto,San Francisco,CA,94107,Employee Services,Payroll
Governor,Michael Bennet,Democratic,13016.98,5/14/25,Gusto,San Francisco,CA,94107,Employee Services,Payroll
Governor,Michael Bennet,Democratic,13016.98,6/12/25,Gusto,San Francisco,CA,94107,Employee Services,Payroll
Governor,Michael Bennet,Democratic,13016.98,7/14/25,Gusto,San Francisco,CA,94107,Employee Services,Payroll
Governor,Michael Bennet,Democratic,12704.23,10/30/25,Gusto,San Francisco,CA,94107,Employee Services,Payroll Taxes
Governor,Michael Bennet,Democratic,12672.1,11/12/25,Gusto,San Francisco,CA,94107,Employee Services,Payroll Taxes
Governor,Michael Bennet,Democratic,12544.53,11/25/25,Gusto,San Francisco,CA,94107,Employee Services,Payroll Taxes
Governor,Michael Bennet,Democratic,12500,10/6/25,Missionwired,Washington,DC,20001,Consultant & Professional Services,Political Retainer
Governor,Michael Bennet,Democratic,12500,10/29/25,Missionwired,Washington,DC,20001,Consultant & Professional Services,Political Retainer
Governor,Victor Marx,Republican,12500,10/17/25,Campaign Catalyst,Pueblo West,CO,81007,Consultant & Professional Services,"Nucleus, Field Consulting, Grid"
Governor,Victor Marx,Republican,12500,10/31/25,Campaign Catalyst,Pueblo West,CO,81007,Consultant & Professional Services,"Nucleus, Field Consulting, Grid"
Governor,Victor Marx,Republican,12500,11/20/25,Campaign Catalyst,Pueblo West,CO,81007,Consultant & Professional Services,"Nucleus, Field Consulting, Grid"
Governor,Victor Marx,Republican,12500,12/16/25,Campaign Catalyst,Pueblo West,CO,81007,Consultant & Professional Services,"Nucleus, Field Consulting, Grid"
Attorney General,David Seligman,Democratic,12360.81,5/18/25,Actblue Technical Services,West Somerville,MA,02144,Fundraising Expenses,Processing Fees
Secretary of State,Jessie Danielson,Democratic,12168.4,8/4/25,Upstream,Wheat Ridge,CO,80033,Consultant & Professional Services,
Governor,Michael Bennet,Democratic,12025,11/5/25,Full View Policy Llc,Golden,CO,80403,Consultant & Professional Services,Policy Consulting
Attorney General,Michael Dougherty,Democratic,12000,4/2/25,Liftoff,Silver Spring,MD,20901-3627,Consultant & Professional Services,
Governor,Michael Bennet,Democratic,11850.89,7/28/25,Uplift,Berkeley,CA,94704,Fundraising Expenses,Texting
Governor,Michael Bennet,Democratic,11793.14,8/29/25,"Qct Production, Llc",Arlington,VA,22201,Fundraising Expenses,Direct Mail Services
Governor,Phil Weiser,Democratic,11691.28,5/28/25,Gusto,San Francisco,CA,94107,Employee Services,Payroll
Governor,Phil Weiser,Democratic,11674.03,5/12/25,Gusto,San Francisco,CA,94107,Employee Services,Payroll
Attorney General,Jena Griswold,Democratic,11586.66,9/15/25,Hilltop Public Solutions,Washington,DC,20007,Fundraising Expenses,Mail
Attorney General,David Seligman,Democratic,11501.22,8/8/25,"Elevate Strategic Consulting, Inc.",Denver,CO,80206,Consultant & Professional Services,"Strategic Consulting, Software, Printing, & Travel"
Governor,Michael Bennet,Democratic,11500,6/5/25,Straus/Baker Llc,Sheffield,MA,01257,Fundraising Expenses,Fundraising Consulting
Governor,Phil Weiser,Democratic,11496.66,3/6/25,Ascend Digital Strategies Llc,Washington,DC,20001,Consultant & Professional Services,"Email Services, Digital Ads & Texting"
Attorney General,Jena Griswold,Democratic,11041.69,7/8/25,Dialogue Digital,Lakewood,CO,80226,Consultant & Professional Services,Digital Consulting
Attorney General,Jena Griswold,Democratic,10903.93,4/13/25,Actblue Technical Services,West Somerville,MA,02144,Fundraising Expenses,Credit Card Processing Fee
Governor,Michael Bennet,Democratic,10615,10/15/25,"Mission Control, Inc.",Glastonbury,CT,06033,Advertising,Printing
Governor,Michael Bennet,Democratic,10432.92,10/2/25,Gusto,San Francisco,CA,94107,Employee Services,Payroll Taxes
Governor,Phil Weiser,Democratic,10295.7,2/4/25,Ascend Digital Strategies Llc,Washington,DC,20001,Consultant & Professional Services,Email Services & Texting
Attorney General,Jena Griswold,Democratic,10289.96,12/30/25,Gusto,Denver,CO,80202,Employee Services,Payroll
Attorney General,Jena Griswold,Democratic,10289.95,11/28/25,Gusto,Denver,CO,80202,Employee Services,Payroll
Attorney General,Jena Griswold,Democratic,10272.7,12/14/25,Gusto,Denver,CO,80202,Employee Services,Payroll
Attorney General,Michael Dougherty,Democratic,10000,3/13/25,Liftoff,Silver Spring,MD,20901-3627,Consultant & Professional Services,
Attorney General,Michael Dougherty,Democratic,10000,3/14/25,Liftoff,Silver Spring,MD,20901-3627,Consultant & Professional Services,
Attorney General,Jena Griswold,Democratic,10000,10/7/25,Dialogue Digital,Lakewood,CO,80226,Consultant & Professional Services,Digital Consulting
Governor,Michael Bennet,Democratic,10000,8/20/25,Chraca Friedman Group,Washington,DC,20002,Consultant & Professional Services,Fundraising Consulting
Governor,Michael Bennet,Democratic,10000,10/30/25,Chraca Friedman Group,Washington,DC,20002,Consultant & Professional Services,Fundraising Consulting
Governor,Michael Bennet,Democratic,10000,11/26/25,Chraca Friedman Group,Washington,DC,20002,Consultant & Professional Services,Fundraising Consulting
Governor,Michael Bennet,Democratic,10000,12/11/25,Gsl Llc,San Francisco,CA,94114,Consultant & Professional Services,Fundraising Consulting
Governor,Scott Bottoms,Republican,10000,8/4/25,Marble Cake Media Llc,Oroville,WA,98844,Advertising,
Governor,Scott Bottoms,Republican,10000,9/2/25,Marble Cake Media Llc,Oroville,WA,98844,Advertising,
Governor,Scott Bottoms,Republican,10000,11/5/25,Mkt Genius,New York City,NY,10017,Consultant & Professional Services,General Consulting
Governor,Victor Marx,Republican,10000,10/27/25,Optik Consulting Strategies,Miami,FL,33131,Consultant & Professional Services,Website Email Social Media Strategy Special Projects
Governor,Victor Marx,Republican,10000,10/30/25,Gessler Blue Llc,Greenwood Village,CO,80111,Consultant & Professional Services,
Governor,Victor Marx,Republican,10000,11/10/25,Optik Consulting Strategies,Miami,FL,33131,Consultant & Professional Services,Website Email Social Media Strategy Special Projects
Governor,Victor Marx,Republican,10000,12/3/25,Varyation Consulting Llc,Las Vegas,NV,89113,Consultant & Professional Services,
Governor,Victor Marx,Republican,10000,12/4/25,Optik Consulting Strategies,Miami,FL,33131,Consultant & Professional Services,Website Email Social Media Strategy Special Projects
Governor,Victor Marx,Republican,10000,12/31/25,Optik Consulting Strategies,Miami,FL,33131,Consultant & Professional Services,Website Email Social Media Strategy Special Projects
Governor,Phil Weiser,Democratic,10000,12/11/25,The Bighorn Company,Lakewood,CO,80226,Consultant & Professional Services,Communications Consulting
Governor,Michael Bennet,Democratic,9907.92,8/12/25,"Qct Production, Llc",Arlington,VA,22201,Fundraising Expenses,Direct Mail Services
Governor,Phil Weiser,Democratic,9848.52,10/27/25,Br Printers,Denver,CO,80229,Fundraising Expenses,Direct Mail Production & Postage
Governor,Michael Bennet,Democratic,9672.81,9/12/25,Gusto,San Francisco,CA,94107,Employee Services,Payroll Taxes
Governor,Barb Kirkmeyer,Republican,9616.44,10/9/25,"Sws Polifi, Llc",Fort Lupton,CO,80621,Other,7520 ∑ Accounting Fees
Governor,Michael Bennet,Democratic,9494.97,4/14/25,Actblue,West Somerville,MA,02144,Bank Fees,Credit Card Processing
Governor,Michael Bennet,Democratic,9485.77,8/28/25,Gusto,San Francisco,CA,94107,Employee Services,Payroll Taxes
Governor,Michael Bennet,Democratic,9371.69,12/29/25,Gusto,San Francisco,CA,94107,Employee Services,Payroll
Governor,Michael Bennet,Democratic,9335.98,7/30/25,Gusto,San Francisco,CA,94107,Employee Services,Payroll Taxes
Governor,Michael Bennet,Democratic,9327.68,9/30/25,"Qct Production, Llc",Arlington,VA,22201,Fundraising Expenses,Direct Mail Services
Secretary of State,Jessie Danielson,Democratic,9200,10/14/25,Upstream,Wheat Ridge,CO,80033,Consultant & Professional Services,
Attorney General,Jena Griswold,Democratic,9066.02,9/24/25,Corazon Printing,Broomfield,CO,80020,Fundraising Expenses,Mail
Governor,Scott Bottoms,Republican,9000,7/3/25,Marble Cake Media Llc,Oroville,WA,98844,Advertising,
Attorney General,Jena Griswold,Democratic,8979.44,11/14/25,Gusto,Denver,CO,80202,Employee Services,Payroll
Governor,Phil Weiser,Democratic,8741.24,8/26/25,Gusto,San Francisco,CA,94107,Employee Services,Payroll Taxes
Governor,Phil Weiser,Democratic,8522.02,1/5/25,Actblue Technical Services,Somerville,MA,02144,Fundraising Expenses,Processing Fees
Governor,Michael Bennet,Democratic,8500,5/12/25,Olivia Bercow,Denver,CO,80201,Consultant & Professional Services,Campaign Consulting
Governor,Barb Kirkmeyer,Republican,8494.42,12/5/25,"Madpax Strategies, Llc",Elizabeth,CO,80107,Other,7430 ∑ Fundraising Consultants
Governor,Victor Marx,Republican,8476.66,10/27/25,Bourbon Brothers,Colorado Springs,CO,80921,Other,Venue Fee
Secretary of State,Jessie Danielson,Democratic,8350,10/1/25,Upstream,Wheat Ridge,CO,80033,Consultant & Professional Services,
Governor,Michael Bennet,Democratic,8337.78,6/23/25,Missionwired,Washington,DC,20001,Fundraising Expenses,Postage
Governor,Michael Bennet,Democratic,8335.62,6/2/25,"Qct Production, Llc",Arlington,VA,22201,Fundraising Expenses,Direct Mail Services
Attorney General,David Seligman,Democratic,8023.77,10/6/25,Uplift,Berkeley,CA,94704,Consultant & Professional Services,Digital Fundraising Services
Governor,Michael Bennet,Democratic,8000,8/6/25,Full View Policy Llc,Golden,CO,80403,Consultant & Professional Services,Political Strategy Consulting
Attorney General,Jena Griswold,Democratic,7934.85,7/3/25,Scale To Win,Santa Ana,CA,92703,Fundraising Expenses,Text Messaging
State Treasurer,Kevin Grantham,Republican,7909.7,12/31/25,Timor Strategies Llc,Lakewood,CO,80227,Consultant & Professional Services,"Consulting, Website Design, Domain Name, Administrative Email Subscription"
Governor,Phil Weiser,Democratic,7859.01,1/26/25,Actblue Technical Services,Somerville,MA,02144,Fundraising Expenses,Processing Fees
Governor,Victor Marx,Republican,7838,12/11/25,"Direct Mail Fundraising, Llc",Ashburn,VA,20147,Fundraising Expenses,Mailers
Governor,Michael Bennet,Democratic,7745,8/12/25,William  Schwartz,Miami,FL,33131,Consultant & Professional Services,Research Consulting
Attorney General,Jena Griswold,Democratic,7730.42,8/29/25,Gusto,Denver,CO,80202,Employee Services,Payroll
Attorney General,Jena Griswold,Democratic,7730.42,10/31/25,Gusto,Denver,CO,80202,Employee Services,Payroll
Attorney General,Jena Griswold,Democratic,7730.4,9/30/25,Gusto,Denver,CO,80202,Employee Services,Payroll
Attorney General,Jena Griswold,Democratic,7724.66,8/15/25,Gusto,Denver,CO,80202,Employee Services,Payroll
Attorney General,Michael Dougherty,Democratic,7724.3,7/25/25,Colorado Democratic Party,Denver,CO,80203,Other,List Purchase
Attorney General,Jena Griswold,Democratic,7724.3,7/1/25,Colorado Democratic Party - Federal Account,Denver,CO,80203,Other,Voter File Access
Attorney General,David Seligman,Democratic,7724.3,9/9/25,Colorado Democratic Party,Denver,CO,80203,Other,Van Access
Governor,Michael Bennet,Democratic,7720.79,8/14/25,Gusto,San Francisco,CA,94107,Employee Services,Payroll Taxes
Attorney General,Jena Griswold,Democratic,7718.92,9/15/25,Gusto,Denver,CO,80202,Employee Services,Payroll
Attorney General,Jena Griswold,Democratic,7718.91,10/15/25,Gusto,Denver,CO,80202,Employee Services,Payroll
Governor,Phil Weiser,Democratic,7671.86,4/25/25,Gusto,San Francisco,CA,94107,Employee Services,Payroll
Attorney General,David Seligman,Democratic,7668.66,10/30/25,Gusto,San Francisco,CA,94107,Employee Services,Payroll
Governor,Michael Bennet,Democratic,7645.41,8/6/25,Dove Street Llc,Washington,DC,20009,Consultant & Professional Services,Fundraising Consulting
Attorney General,David Seligman,Democratic,7645,7/14/25,Uplift,Berkeley,CA,94704,Consultant & Professional Services,Digital Fundraising Services
Attorney General,David Seligman,Democratic,7627,8/28/25,Uplift,Berkeley,CA,94704,Consultant & Professional Services,Digital Fundraising Services
Governor,Michael Bennet,Democratic,7616.2,8/12/25,"Qct Production, Llc",Arlington,VA,22201,Fundraising Expenses,Direct Mail Services
Attorney General,Michael Dougherty,Democratic,7500,10/31/25,Upstream Llc,Wheat Ridge,CO,80033,Consultant & Professional Services,
Governor,Michael Bennet,Democratic,7500,5/12/25,"Golden State Strategies, Llc",Santa Monica,CA,90403,Fundraising Expenses,Fundraising Consulting
Governor,Michael Bennet,Democratic,7500,7/2/25,Straus/Baker Llc,Sheffield,MA,01257,Consultant & Professional Services,Fundraising Consulting
Governor,Michael Bennet,Democratic,7500,7/8/25,"Golden State Strategies, Llc",Santa Monica,CA,90403,Consultant & Professional Services,Fundraising Consulting
Governor,Michael Bennet,Democratic,7500,8/12/25,"Golden State Strategies, Llc",Santa Monica,CA,90403,Consultant & Professional Services,Fundraising Consulting
Governor,Michael Bennet,Democratic,7500,10/6/25,Dove Street Llc,Washington,DC,20009,Consultant & Professional Services,Fundraising Consulting
Governor,Michael Bennet,Democratic,7500,10/9/25,Dove Street Llc,Washington,DC,20009,Consultant & Professional Services,Fundraising Consulting
Governor,Michael Bennet,Democratic,7500,10/14/25,Hilltop Public Solutions,Washington,DC,20007,Consultant & Professional Services,General Consulting
Governor,Scott Bottoms,Republican,7500,10/3/25,Marble Cake Media Llc,Oroville,WA,98844,Advertising,
Governor,Victor Marx,Republican,7500,10/14/25,Optik Consulting Strategies,Miami,FL,33131,Consultant & Professional Services,Website Email Social Media Strategy Special Projects
Governor,Victor Marx,Republican,7500,11/12/25,The Hudson Firm Llc,Castle Pines,CO,80108,Consultant & Professional Services,
Governor,Victor Marx,Republican,7500,11/19/25,The Hudson Firm Llc,Castle Pines,CO,80108,Consultant & Professional Services,
Governor,Victor Marx,Republican,7500,12/4/25,Trent  Langhofer,Colorado Springs,CO,80927,Consultant & Professional Services,
Governor,Victor Marx,Republican,7500,12/31/25,The Hudson Firm Llc,Castle Pines,CO,80108,Consultant & Professional Services,
Governor,Phil Weiser,Democratic,7500,2/5/25,The Bighorn Company,Lakewood,CO,80226,Consultant & Professional Services,Communications Consulting
Governor,Phil Weiser,Democratic,7500,5/2/25,The Bighorn Company,Lakewood,CO,80226,Consultant & Professional Services,Communications Consulting
Governor,Phil Weiser,Democratic,7500,6/4/25,The Bighorn Company,Lakewood,CO,80226,Consultant & Professional Services,Communications Consulting
Governor,Phil Weiser,Democratic,7500,7/9/25,The Bighorn Company,Lakewood,CO,80226,Consultant & Professional Services,Communications Consulting
Governor,Phil Weiser,Democratic,7500,8/4/25,The Bighorn Company,Lakewood,CO,80226,Consultant & Professional Services,Communications Consulting
Governor,Phil Weiser,Democratic,7500,9/5/25,The Bighorn Company,Lakewood,CO,80226,Consultant & Professional Services,Communications Consulting
Governor,Phil Weiser,Democratic,7500,10/8/25,The Bighorn Company,Lakewood,CO,80226,Consultant & Professional Services,Communications Consulting
Governor,Phil Weiser,Democratic,7500,11/4/25,The Bighorn Company,Lakewood,CO,80226,Consultant & Professional Services,Communications Consulting
Governor,Phil Weiser,Democratic,7388.47,10/3/25,Ascend Digital Strategies Llc,Boulder,CO,80303,Consultant & Professional Services,Email Services & Texting
Governor,Phil Weiser,Democratic,7387.1,3/7/25,Bee Compliance Llc,Washington,DC,20003,Consultant & Professional Services,Compliance Consulting
Governor,Phil Weiser,Democratic,7349.66,1/14/25,Gusto,San Francisco,CA,94107,Employee Services,Payroll
Governor,Michael Bennet,Democratic,7246.29,6/30/25,Actblue,West Somerville,MA,02144,Bank Fees,Credit Card Processing
Attorney General,Hetal Doshi,Democratic,7243.95,6/9/25,Numero,Costa Mesa,CA,92626,Fundraising Expenses,
Attorney General,David Seligman,Democratic,7203.93,11/13/25,Gusto,San Francisco,CA,94107,Employee Services,Payroll
Governor,Michael Bennet,Democratic,7202.39,5/14/25,Gusto,San Francisco,CA,94107,Employee Services,Payroll Taxes
Governor,Michael Bennet,Democratic,7174.3,5/29/25,Gusto,San Francisco,CA,94107,Employee Services,Payroll Taxes
Governor,Phil Weiser,Democratic,7149.48,4/10/25,Gusto,San Francisco,CA,94107,Employee Services,Payroll
Governor,Phil Weiser,Democratic,7139.1,8/6/25,Ascend Digital Strategies Llc,Washington,DC,20001,Consultant & Professional Services,Email Services & Texting
Governor,Michael Bennet,Democratic,7133.4,6/23/25,Actblue,West Somerville,MA,02144,Bank Fees,Credit Card Processing
Governor,Michael Bennet,Democratic,7108.38,6/12/25,Gusto,San Francisco,CA,94107,Employee Services,Payroll Taxes
Governor,Michael Bennet,Democratic,7053.65,9/30/25,Bennet For Colorado,Denver,CO,80201,Travel & Lodging,Reimbursement-Q3 Travel Itemized By Vendor And Date
Governor,Phil Weiser,Democratic,7027.06,9/9/25,Ascend Digital Strategies Llc,Washington,DC,20001,Consultant & Professional Services,Email Services & Texting
Governor,Phil Weiser,Democratic,7021.3,9/25/25,Gusto,San Francisco,CA,94107,Employee Services,Payroll Taxes
Governor,Michael Bennet,Democratic,7000,5/14/25,Uplift,Berkeley,CA,94704,Fundraising Expenses,Email
Governor,Michael Bennet,Democratic,7000,6/4/25,Uplift,Berkeley,CA,94704,Consultant & Professional Services,Digital Consulting
Governor,Michael Bennet,Democratic,7000,7/8/25,Uplift,Berkeley,CA,94704,Consultant & Professional Services,Digital Consulting
Governor,Michael Bennet,Democratic,7000,8/12/25,Olivia Bercow,Denver,CO,80201,Consultant & Professional Services,Campaign Consulting
Governor,Scott Bottoms,Republican,7000,6/3/25,Marble Cake Media Llc,Oroville,WA,98844,Advertising,
Governor,Phil Weiser,Democratic,7000,11/13/25,Greenberg Quinlan Rosner Research,Washington,DC,20005,Consultant & Professional Services,Research Services
Governor,Phil Weiser,Democratic,6962.31,7/3/25,Ascend Digital Strategies Llc,Washington,DC,20001,Consultant & Professional Services,Email Services & Texting
Governor,Michael Bennet,Democratic,6922.1,10/30/25,"Engage, Llc",Frederick,MD,21701,Fundraising Expenses,Direct Mail Processing
Governor,Phil Weiser,Democratic,6906.04,10/10/25,Gusto,San Francisco,CA,94107,Employee Services,Payroll Taxes
Governor,Phil Weiser,Democratic,6883.14,11/12/25,Gusto,San Francisco,CA,94107,Employee Services,Payroll Taxes
Governor,Michael Bennet,Democratic,6860.15,6/27/25,Gusto,San Francisco,CA,94107,Employee Services,Payroll Taxes
Governor,Michael Bennet,Democratic,6851.76,5/16/25,Blueprint Usa,Washington,DC,20003,Travel & Lodging,Travel And Lodging
Governor,Phil Weiser,Democratic,6851.12,10/28/25,Gusto,San Francisco,CA,94107,Employee Services,Payroll Taxes
